时间,支出内容,A,B,C,D
2020/1/1,Q,1.82,74.2,0.01,1.41
2020/1/2,Q,2.14,75.9,0.01,1.08
2020/1/3,Q,3.65,58.67,0.0,1.05
2020/1/4,Q,3.93,64.26,0.0,1.41
2020/1/5,Q,1.66,97.42,1.42,1.64
2020/1/6,Q,2.22,99.0,0.25,0.97
2020/1/7,Q,1.8,99.0,0.27,1.1
2020/1/8,Q,2.17,96.23,0.0,1.41
2020/1/9,Q,3.43,83.5,0.01,1.4
2020/2/3,Q,2.0,68.17,0.0,0.72
2020/2/4,Q,3.09,69.38,0.0,2.33
2020/2/5,Q,-0.57,74.79,0.0,1.81
2020/2/6,Q,-1.24,90.21,0.08,1.2
2020/2/7,Q,2.5,79.21,0.0,1.28
2020/2/8,Q,5.03,71.12,0.0,1.29
2020/2/9,Q,7.1,56.0,0.0,1.34
2020/2/1,Q,7.06,44.35,0.0,1.98
2020/2/2,Q,7.77,71.36,0.06,1.48
2020/3/1,Q,13.57,39.1,0.0,2.01
2020/3/2,Q,13.34,61.61,0.06,1.82
2020/3/3,Q,10.21,67.68,0.0,1.86
2020/3/4,Q,4.93,50.46,0.0,2.65
2020/3/7,Q,12.86,55.16,0.0,2.58
2020/3/5,Q,8.21,61.0,0.0,1.38
2020/3/6,Q,10.65,69.67,0.0,1.14
2020/3/8,Q,11.8,69.88,0.0,1.9
2020/3/9,Q,12.32,71.46,0.0,1.92
2020/4/1,Q,15.15,55.6,0.04,1.98
2020/4/2,Q,16.54,47.51,0.0,1.94
2020/4/3,Q,19.11,57.18,0.0,1.38
2020/4/4,Q,15.12,54.96,0.0,2.65
2020/4/5,Q,13.59,57.62,0.0,1.35
2020/4/6,Q,12.44,72.83,0.0,0.85
2020/4/7,Q,20.38,44.21,0.0,1.79
2020/4/8,Q,15.28,65.75,0.0,2.22
2020/4/9,Q,10.97,68.12,0.0,2.8
2020/5/1,Q,23.59,45.61,0.01,2.31
2020/5/2,Q,26.29,40.56,0.0,1.65
2020/5/3,Q,27.15,50.94,0.12,1.58
2020/5/4,Q,19.42,70.88,0.0,2.94
2020/5/5,Q,17.62,81.75,0.17,1.37
2020/5/6,Q,19.71,73.06,0.0,2.64
2020/5/7,Q,17.72,90.42,1.73,1.52
2020/5/8,Q,20.03,81.04,0.38,1.58
2020/5/9,Q,16.71,83.33,0.18,1.6
2020/6/1,Q,24.56,72.71,0.43,1.47
2020/6/2,Q,26.7,68.85,0.04,1.47
2020/6/3,Q,27.42,53.96,0.0,1.85
2020/6/4,Q,30.35,30.46,0.0,1.35
2020/6/5,Q,29.64,39.42,0.0,2.06
2020/6/6,Q,29.98,38.92,0.0,1.85
2020/6/7,Q,27.37,43.31,0.0,1.91
2020/6/8,Q,29.71,35.08,0.0,3.6
2020/6/9,Q,23.54,75.5,0.15,1.61
2020/7/1,Q,25.23,79.86,0.09,1.42
2020/7/2,Q,25.72,81.35,0.06,1.47
2020/7/3,Q,27.71,77.82,0.0,1.63
2020/7/4,Q,27.27,70.38,0.0,1.61
2020/7/5,Q,28.83,68.33,0.0,1.74
2020/7/6,Q,31.08,49.29,0.0,1.84
2020/7/7,Q,30.94,58.62,0.0,2.88
2020/7/8,Q,30.43,57.38,0.0,1.94
2020/7/9,Q,27.68,76.62,0.5,2.24
2020/8/1,Q,27.45,86.84,0.11,1.47
2020/8/2,Q,25.38,83.45,0.03,1.28
2020/8/3,Q,27.22,75.86,0.0,1.53
2020/8/4,Q,27.18,88.04,0.0,2.05
2020/8/5,Q,26.57,95.96,0.01,2.17
2020/8/6,Q,23.7,98.58,1.88,1.9
2020/8/7,Q,23.67,99.0,1.96,0.75
2020/8/8,Q,27.07,88.38,2.48,1.57
2020/8/9,Q,28.58,79.88,0.0,1.34
2020/9/1,Q,23.55,64.85,0.0,1.39
2020/9/2,Q,21.46,72.75,0.0,1.44
2020/9/3,Q,22.89,65.2,0.0,1.56
2020/9/4,Q,24.22,63.88,0.0,1.15
2020/9/5,Q,23.73,69.21,0.0,0.97
2020/9/6,Q,25.07,72.29,0.0,1.02
2020/9/7,Q,25.44,63.71,0.0,1.19
2020/9/8,Q,24.68,65.27,0.0,1.52
2020/9/9,Q,25.35,72.79,0.0,1.15
2020/10/,Q,15.27,75.02,0.03,1.1
2020/11/,Q,10.01,71.31,0.05,1.55
2020/12/,Q,2.23,57.38,0.01,1.44
