���ʱ��,֧��,A,B,C,D
2020/1/1,Q,-0.8,34,0,0.3
2020/1/1 1:00,Q,-0.3,31,0,0.7
2020/1/1 2:00,Q,-0.7,31,0,1.1
2020/1/1 3:00,Q,-2.5,47,0,0.9
2020/1/1 4:00,Q,-3.7,48,0,0
2020/1/1 5:00,Q,-4.2,52,0,0.5
2020/1/1 6:00,Q,-4.8,59,0,0
2020/1/1 7:00,Q,-2.7,49,0,1.6
2020/1/1 8:00,Q,-3.9,60,0,1.2
2020/1/1 9:00,Q,-1.3,46,0,1.7
2020/1/1 10:00,Q,1.4,41,0,1.2
2020/1/1 11:00,Q,1.3,39,0,2.9
2020/1/1 12:00,Q,2.7,36,0,3.5
2020/1/1 13:00,Q,3.4,36,0,3.4
2020/1/1 14:00,Q,3.2,31,0,3
2020/1/1 15:00,Q,3.1,34,0,2.4
2020/1/1 16:00,Q,2.9,34,0,1.2
2020/1/1 17:00,Q,2.6,34,0,1.7
2020/1/1 18:00,Q,2,40,0,0.8
2020/1/1 19:00,Q,0.7,42,0,0.8
2020/1/1 20:00,Q,-0.2,45,0,1.1
2020/1/1 21:00,Q,-0.2,46,0,1.2
2020/1/1 22:00,Q,-1.5,60,0,0.5
2020/1/1 23:00,Q,-1.9,62,0,1
2020/1/2,Q,-1.3,58,0,1
2020/1/2 1:00,Q,-2.4,74,0,0.6
2020/1/2 2:00,Q,-2.3,63,0,1.3
2020/1/2 3:00,Q,-3.3,72,0,0.1
2020/1/2 4:00,Q,-3.9,79,0,0.7
2020/1/2 5:00,Q,-2.6,64,0,1.3
2020/1/2 6:00,Q,-3.6,72,0,0.7
2020/1/2 7:00,Q,-4.1,75,0,0.4
2020/1/2 8:00,Q,-4.3,79,0,0.9
2020/1/2 9:00,Q,-1.5,68,0,1
2020/1/2 10:00,Q,0.7,54,0,1.4
2020/1/2 11:00,Q,3.4,42,0,0.7
2020/1/2 12:00,Q,4.1,36,0,1.1
2020/1/2 13:00,Q,5.3,36,0,1.5
2020/1/2 14:00,Q,5.7,36,0,2.4
2020/1/2 15:00,Q,5.8,38,0,2.2
2020/1/2 16:00,Q,5.6,40,0,1.7
2020/1/2 17:00,Q,4.8,42,0,1.7
2020/1/2 18:00,Q,2.9,48,0,1.2
2020/1/2 19:00,Q,1.5,55,0,0.9
2020/1/2 20:00,Q,2.8,51,0,0.4
2020/1/2 21:00,Q,2.3,61,0,0.7
2020/1/2 22:00,Q,2.4,57,0,0
2020/1/2 23:00,Q,2.3,59,0,0
2020/1/3,Q,2.3,68,0,0.5
2020/1/3 1:00,Q,2.3,69,0,0.7
2020/1/3 2:00,Q,2.2,68,0,1
2020/1/3 3:00,Q,1.9,70,0,0
2020/1/3 4:00,Q,2,70,0,0.4
2020/1/3 5:00,Q,2,73,0,0.7
2020/1/3 6:00,Q,1.7,76,0,0.4
2020/1/3 7:00,Q,2,65,0,0.7
2020/1/3 8:00,Q,1.8,71,0,1.3
2020/1/3 9:00,Q,2.3,64,0,0.3
2020/1/3 10:00,Q,3.7,53,0,1.3
2020/1/3 11:00,Q,4.4,50,0,2.5
2020/1/3 12:00,Q,5.9,40,0,1.6
2020/1/3 13:00,Q,7.2,39,0,1.8
2020/1/3 14:00,Q,7.5,40,0,1.7
2020/1/3 15:00,Q,7.8,41,0,1.6
2020/1/3 16:00,Q,7.4,44,0,1.6
2020/1/3 17:00,Q,6.5,46,0,1.2
2020/1/3 18:00,Q,4.2,53,0,1
2020/1/3 19:00,Q,3.5,56,0,0.6
2020/1/3 20:00,Q,2.8,60,0,0.6
2020/1/3 21:00,Q,2.6,61,0,1
2020/1/3 22:00,Q,2.1,64,0,1.6
2020/1/3 23:00,Q,1.4,67,0,1.2
2020/1/4,Q,-0.5,80,0,0
2020/1/4 1:00,Q,-0.8,84,0,0.7
2020/1/4 3:00,Q,1.2,70,0,1.4
2020/1/4 4:00,Q,-0.2,74,0,0.7
2020/1/4 5:00,Q,-1.2,84,0,0.8
2020/1/4 6:00,Q,1,73,0,2.1
2020/1/4 7:00,Q,0.9,71,0,0
2020/1/4 8:00,Q,-1.1,85,0,0.8
2020/1/4 9:00,Q,0.5,80,0,1.1
2020/1/4 10:00,Q,2.5,73,0,0.8
2020/1/4 11:00,Q,3.8,68,0,0.8
2020/1/4 12:00,Q,6.6,54,0,0.7
2020/1/4 13:00,Q,7.7,50,0,1.6
2020/1/4 14:00,Q,8.3,50,0,2.3
2020/1/4 15:00,Q,8.4,50,0,1.9
2020/1/4 16:00,Q,8.2,53,0,2.2
2020/1/4 17:00,Q,7.2,52,0,2.6
2020/1/4 18:00,Q,6.4,54,0,1.6
2020/1/4 19:00,Q,6.3,53,0,1.8
2020/1/4 20:00,Q,6.1,57,0,1.4
2020/1/4 21:00,Q,5.9,57,0,1.9
2020/1/4 22:00,Q,6.7,52,0,2.9
2020/1/4 23:00,Q,6.5,54,0,2.3
2020/1/5,Q,5.2,72,0.1,2.5
2020/1/5 1:00,Q,3.8,93,1.3,2.1
2020/1/5 2:00,Q,3.6,98,1.8,1.7
2020/1/5 3:00,Q,3.7,99,2.2,2
2020/1/5 4:00,Q,3.7,97,2,4.8
2020/1/5 5:00,Q,3.2,97,3.4,3.9
2020/1/5 6:00,Q,3,99,3.6,3
2020/1/5 7:00,Q,2.4,99,3.1,3.5
2020/1/5 8:00,Q,0.5,99,3.2,1.8
2020/1/5 9:00,Q,0.3,99,1,1.7
2020/1/5 10:00,Q,0.3,99,0.7,1.9
2020/1/5 11:00,Q,0.3,99,1,0.7
2020/1/5 12:00,Q,0.3,99,1.2,0.8
2020/1/5 13:00,Q,0.3,99,1.1,0.7
2020/1/5 14:00,Q,0.3,99,1.4,0.8
2020/1/5 15:00,Q,0.5,99,1.4,1.1
2020/1/5 16:00,Q,0.7,99,1.6,0.8
2020/1/5 17:00,Q,0.8,99,1.1,1
2020/1/5 18:00,Q,1,99,0.7,1.3
2020/1/5 19:00,Q,0.9,99,0.7,1
2020/1/5 20:00,Q,1.2,99,0.5,0.8
2020/1/5 21:00,Q,1.2,99,0.5,0.2
2020/1/5 22:00,Q,1.3,99,0.3,0.2
2020/1/5 23:00,Q,1.3,99,0.2,1.1
2020/1/6,Q,1.4,99,0,1.6
2020/1/6 1:00,Q,1.6,99,0,0.7
2020/1/6 2:00,Q,1.6,99,0,1.4
2020/1/6 3:00,Q,1.3,99,0,0.6
2020/1/6 4:00,Q,2,99,0,1.1
2020/1/6 5:00,Q,1.5,99,0,0.5
2020/1/6 6:00,Q,1.3,99,0,0.5
2020/1/6 7:00,Q,1.3,99,0,0.9
2020/1/6 8:00,Q,1.3,99,0.2,0
2020/1/6 9:00,Q,1.3,99,0.6,1.4
2020/1/6 10:00,Q,1.8,99,0.1,1.1
2020/1/6 11:00,Q,2.1,99,0.6,0
2020/1/6 12:00,Q,2.2,99,0.1,1.1
2020/1/6 13:00,Q,2.6,99,0.3,0.1
2020/1/6 14:00,Q,3.1,99,0,1.2
2020/1/6 15:00,Q,3.3,99,0,1.3
2020/1/6 16:00,Q,3.5,99,0,0.8
2020/1/6 17:00,Q,3.4,99,0,1.5
2020/1/6 18:00,Q,3.3,99,0.1,1.1
2020/1/6 19:00,Q,3.2,99,0.3,1.1
2020/1/6 20:00,Q,3.3,99,0.6,1.4
2020/1/6 21:00,Q,3,99,0.8,1.4
2020/1/6 22:00,Q,2.3,99,1.1,1.7
2020/1/6 23:00,Q,1.6,99,1.2,0.9
2020/1/7,Q,0.5,99,1.3,0.3
2020/1/7 1:00,Q,0.5,99,0.6,0.7
2020/1/7 2:00,Q,0.6,99,0.5,0.8
2020/1/7 3:00,Q,0.8,99,0.2,1.1
2020/1/7 4:00,Q,0.6,99,0.6,1.4
2020/1/7 5:00,Q,0.3,99,0.4,1.6
2020/1/7 6:00,Q,0.3,99,0.2,0.9
2020/1/7 7:00,Q,0.4,99,0.1,1.1
