名称,人气
蒂姆·罗宾斯,18286 
鲍勃·冈顿,461 
吉尔·贝罗斯,131 
克兰西·布朗,499 
弗兰克·德拉邦特,9124 
大卫·普罗瓦尔,31 
保罗·麦克兰尼,12 
尼尔·吉恩托利,10 
斯蒂芬·金,14209 
詹姆斯·惠特摩,114 
马克·罗斯顿,61 
摩根·弗里曼,46789 
祖德·塞克利拉,23 
威廉姆·赛德勒,306 
杰弗里·德曼,150 
陈凯歌,19122 
芮妮·布莱恩,15 
阿方索·弗里曼,11 
拉里·布兰登伯格,11 
耐德·巴拉米,20 
布赖恩·利比,13 
唐·麦克马纳斯,12 
马克·迈尔斯,2 
约瑟夫·劳格诺,8 
V·J·福斯特,4 
吕齐,171 
弗兰克·梅德拉诺,6 
芦苇,3085 
英达,1797 
李碧华,8311 
巩俐,25507 
吴大维,1319 
布赖恩·戴拉特,5 
尼尔·萨默斯,5 
张国荣,88503 
童弟,37 
尹治,399 
赵海龙,35 
沈慧芬,136 
张丰毅,4667 
马明威,184 
蒋雯丽,6921 
智一桐,48 
葛优,30290 
罗宾·怀特,8876 
徐杰,1092 
雷汉,311 
罗伯特·泽米吉斯,6976 
费振翔,1544 
麦凯尔泰·威廉逊,76 
温斯顿·格鲁姆,18 
李丹,3085 
黄斐,58 
迈克尔·康纳·亨弗里斯,35 
李春,1002 
伊俄涅·M·特雷奇,2 
艾瑞克·罗斯,427 
哈罗德·G·赫瑟姆,3 
汉娜·豪尔,113 
加里·西尼斯,958 
杰森·麦克奎尔,2 
希博汗·法隆,48 
海利·乔·奥斯蒙,6755 
汤姆·汉克斯,65727 
德博拉·麦克蒂尔,2 
丹尼尔C.斯瑞派克,6 
莎莉·菲尔德,1270 
罗布·兰德里,2 
山姆·安德森,33 
伊丽莎白·汉克斯,2 
桑尼·施罗耶,4 
埃里克·安德伍德,2 
伊莎贝尔·罗斯,6 
阿非莫·奥米拉,12 
约翰·威廉·高尔特,2 
艾德·戴维斯,2 
彼得·道博森,6 
拜伦·明斯,3 
克里斯托弗·琼斯,25 
迈克尔·伯吉斯,3 
瓦妮莎·罗斯,15 
詹姆斯·卡梅隆,34191 
艾尔·哈林顿,2 
大卫·布里斯宾,5 
迪克·史迪威,2 
斯蒂芬·布吉格沃特,6 
约翰·沃德斯塔德,2 
乔·阿拉斯奇,4 
弗兰西丝·费舍,252 
迪克·卡维特,16 
希拉里·沙普兰,2 
维克多·加博,958 
凯特·温丝莱特,55517 
理查德·达历山德罗,4 
阿那托利·萨加洛维奇,3 
W·本森·泰瑞,2 
马拉·苏查雷特扎,17 
莱昂纳多·迪卡普里奥,133998 
乔纳森·菲利普斯,45 
苏茜·爱米斯,80 
比尔·帕克斯顿,340 
迈克尔-杰斯,12 
夏洛特·查顿,34 
伯纳德·希尔,297 
杰弗里·布莱克,20 
格劳瑞亚·斯图尔特,654 
比利·赞恩,790 
理查德·格拉翰,13 
斯科特·安德森,3 
乔纳森·海德,93 
凯西·贝茨,4666 
杰森·贝瑞,15 
罗莎琳·艾尔斯,10 
刘易斯·阿伯内西,2 
吕克·贝松,36892 
乔纳森·伊万斯-琼斯,9 
保罗·布赖特威尔,3 
詹姆斯·兰开斯特,1 
伊万·斯图尔特,87 
大卫·沃纳,77 
丹尼·努齐,48 
尼古拉斯·卡斯柯恩,4 
西蒙·克雷恩,4 
卢·帕尔特,2 
马克·林赛·查普曼,9 
法妮·布雷特,7 
弗兰克·赛格,3 
艾恩·格拉法德,2238 
彼得·阿佩尔,17 
乔治·坎塔里尼,749 
艾伦·格里尼,131 
罗切尔·罗斯,13 
格雷戈里·库克,1 
泰瑞·佛瑞斯塔,4 
罗伯托·贝尼尼,14111 
马里奥·托迪斯科,4 
拉法埃拉·莱博罗尼,2 
加里·奥德曼,44310 
亚美利哥·丰塔尼,3 
艾尔莎·瑞雯,9 
利迪娅·阿方西,25 
马丁·贾维斯,15 
迈克尔·巴达鲁科,50 
利亚姆·图伊,1 
伊丽莎白·瑞根,31 
汉尼斯·赫尔曼,6 
吉娜·诺维勒,18 
吉安卡尔洛·科森蒂诺,2 
丹尼·爱罗,201 
中村彰男,16 
萨米·纳塞利,553 
罗伯特·拉萨多,54 
温琴佐·切拉米,38 
宫崎骏,71445 
史蒂文·斯皮尔伯格,65447 
朱利亚娜·洛约迪切,6 
玛丽萨·帕雷德斯,474 
亚当·布斯奇,8 
入野自由,1136 
阿伦·克雷格,2 
马西莫·比安奇,2 
马克·伊瓦涅,96 
小林郁夫,8 
我修院达也,70 
霍斯特·布赫霍尔茨,135 
彼得·德·席尔瓦,5 
柊瑠美,707 
汤姆·哈迪,61007 
恩尼奥·孔萨尔维,2 
迪尔克·范登贝格,2 
乔纳森·萨加尔,32 
拉尔夫·费因斯,47773 
弗兰科·梅斯科利尼,2 
克莱尔·吉尔蕾,9 
克里斯托弗·诺兰,172063 
大泉洋,2039 
诺伯特·魏塞尔,7 
