八达岭长城,北京市延庆区G6京藏高速58号出口,5A,4.1,40,424
颐和园,北京市海淀区新建宫门路19号,5A,4.1,30,426
圆明园,北京市海淀区清华西路28号,5A,3.8,10,402
北京野生动物园,北京市大兴区榆垡镇永定河畔的万亩林,4A,3.5,143.8,2081
天坛公园,北京市东城区天坛路甲1号,5A,4.0,14.8,306
北京动物园,北京市西直门外大街137号,4A,3.6,14.4,616
北海公园,北京市西城区文津街1号,4A,3.8,9.6,364
故宫博物院,北京市东城区景山前街4号,5A,5.0,57,388
北京欢乐谷,北京市朝阳区金蝉西路东四环小武基北路(四方桥东南),4A,3.6,296,372
恭王府,北京市西城区前海西街17号,5A,3.7,40,42
景山公园,北京市西城区景山前街景山公园,4A,3.7,2.5,68
慕田峪长城,北京市怀柔区渤海镇慕田峪村,5A,3.5,40,62
香山公园,海淀区买卖街40号 ‎,4A,3.6,9.5,174
明十三陵,北京市昌平区十三陵镇昌赤路,5A,3.6,0.7,30
国家植物园北园（原北京植物园）,海淀区香山卧佛寺路北京植物园,4A,3.5,4,290
北京海洋馆,北京市海淀区高粱桥斜街乙18号,4A,3.5,175,36
潭柘寺,门头沟区潭柘寺镇,4A,3.5,50,202
北京大观园,西城区南菜园街12号,3A,3.8,55.5,12
龙庆峡,北京市延庆区旧县镇古城水库,4A,3.5,40,224
八达岭长城缆车,北京市延庆区G6京藏高速58号出口,5A,0.0,48,2
金海湖风景区,北京市平谷区金海湖镇海子村北,4A,3.5,39,442
玉渊潭公园,北京市海淀区西三环中路10号,4A,3.6,2.3,50
十渡风景区,北京市房山区九渡大街9号,4A,3.6,36.8,10
水关长城,北京市延庆区八达岭镇石佛寺村,4A,0.0,35,12
黄花城水长城,北京市怀柔区九渡河镇西水峪,4A,3.5,58,142
故宫礼物,北京市东城区景山前街4号,5A,0.0,128,47
北京世界公园,丰台区花乡丰葆路158号,4A,3.5,0.3,10
京东石林峡,北京市平谷区黄松峪乡雕窝村73号,4A,3.5,68,156
孔庙和国子监博物馆,北京市东城区安定门内国子监街15号,4A,0.0,0.5,8
奥林匹克公园,北京市朝阳区北辰东路15号,5A,3.7,0.6,6
怀柔青龙峡,北京市怀柔区怀北镇大水峪村北500米,4A,3.5,54,208
北京天文馆,西城区西直门外大街138号（动物园对面）,4A,3.6,72,2
仙居谷,密云区太师屯镇令公村松曹路,4A,3.5,36,6
中山公园,东城区中华路4号(天安门西侧),4A,3.6,3,12
雁栖湖旅游区,怀柔区怀北镇雁水路3号,4A,3.5,1.8,190
京东大峡谷,北京市平谷区山东庄鱼子山村,4A,3.5,75,146
石景山游乐园,北京市石景山区石景山路25号,4A,3.5,10,82
北京汽车博物馆,北京市丰台区南四环西路126号,4A,0.0,20,34
首都博物馆,北京市西城区复兴门外大街16号,4A,3.6,2.2,34
中国紫檀博物馆,北京市朝阳区建国路23号（地铁1号线四惠东站向东500米）,4A,3.5,9,46
八大处公园,北京市石景山区西山风景区南麓八大处公园,4A,3.6,10,102
地坛公园,北京市东城区安定门外大街东侧,4A,3.6,2,96
红螺寺,北京市怀柔区怀柔镇卢庄村北红螺东路2号,4A,3.5,62.2,76
居庸关长城,北京市昌平区南口镇居庸关村,4A,3.6,1.1,4
中央电视塔,海淀区西三环中路11号,4A,3.6,75,79
北京明城墙遗址公园,北京市东城区崇文门东大街9号,4A,0.0,10,93
陶然亭公园,北京市西城区太平街19号（护城河北岸）,4A,3.6,0.4,44
温都水城,北京市昌平区北七家镇郑各庄村王府街55号,4A,3.5,119,41
八达岭古长城（残长城）,北京市延庆区八达岭镇东沟村,3A,0.0,54,8
蟒山国家森林公园,北京市昌平区蟒山路2号,3A,3.5,30,50
司马台长城,北京市密云区古北口镇司马台村北,4A,3.8,40,16
北京国际鲜花港,北京市顺义区杨镇红寺村北,4A,0.0,30,26
北京野鸭湖国家湿地公园,北京市延庆区康庄镇刘浩营村西,4A,3.5,48.9,186
乐多港卡乐星球,北京市昌平区城南街道旧西路（西关环岛西2公里）,4A,0.0,380,90
中国人民抗日战争纪念馆,北京市丰台区卢沟桥宛平城内街101号,4A,3.5,2.6,48
云居寺,大石窝镇水头村云居寺,4A,3.5,0.5,6
黑龙潭风景区,北京市密云区石城乡鹿皮关,4A,3.5,56.1,46
凤凰岭,北京市海淀区凤凰岭路19号,4A,3.5,25,8
天津方特欢乐世界,天津市滨海新区中生大道4888号,4A,0.0,140,248
瓷房子,天津市和平区赤峰道72号(近和平路商业街),3A,4.1,50,4
天津海昌极地海洋公园,天津市滨海新区响螺湾商务区61号（近海门大桥）,4A,0.0,235,84
天津之眼摩天轮,天津市河北区三岔河口永乐桥上,4A,0.0,70,30
天津欢乐谷,天津市东丽区东丽湖旅游度假区东丽之光大道,4A,0.0,197,146
大沽口炮台遗址,天津市滨海新区塘沽东炮台路1号,4A,3.7,24.3,4
国家海洋博物馆,天津市滨海新区荣盛路与海轩道交叉口,4A,0.0,89,4
天津古文化街,天津市南开区，南门在水阁大街与古文化街交口，北门在通北路与古文化街交口,5A,4.2,0.5,2
东疆湾沙滩景区,天津市滨海新区东疆港保税区山西路东疆湾景区内(近渤海石油),4A,0.0,598,79
天津盘山风景名胜区,天津市蓟县官庄镇莲花岭村,5A,4.0,75,36
意式风情街,天津市河北区，东起五经路，西至胜利路，南起博爱道，北至建国道,4A,0.0,64,70
五大道,天津市和平区成都道以南，马场道以北，西康路以东，马场道与南京路交口以西的一片长方形地区,4A,0.0,1.5,2
天津泰达航母主题公园,天津市滨海新区汉沽汉北路269号,4A,3.5,220,2
大悲禅院,天津市河北区天纬路40号,4A,3.9,0.4,31
平津战役纪念馆,天津市红桥区平津道8号,4A,3.6,6,99
天塔湖风景区,天津市河西区卫津南路1号（近津溜公路）,4A,3.5,50,8
天津水上公园,天津市南开区水上公园北路33号,4A,4.2,0.5,58
蓟州溶洞,天津市蓟州区罗庄子镇洪水庄村北灵气山下,4A,0.0,88,60
梨木台,天津市蓟州区下营镇船舱峪村北梨木台风景区,4A,3.6,65,14
天山海世界米立方,小站镇天山路,4A,0.0,78,14
精武门·中华武林园,天津市西青区精武镇小南河村,4A,0.0,38,75
天津热带植物观光园,天津市西青区外环线七号桥北300米,4A,3.5,58.8,36
独乐寺,天津市蓟县城内武定街41号（古街西口）,4A,3.7,0.4,69
东丽湖恒大世博国际温泉,天津市东丽区东丽湖旅游度假区东丽大道1037号,4A,0.0,118,97
石家大院,天津市西青区杨柳青镇估衣街47号,4A,3.7,1.6,65
天津小站练兵园,天津市津南区小站镇津岐公路东小站练兵园,3A,3.5,40,71
天津武清绿博园,天津市武清区下朱庄镇南湖公园风景区,4A,0.0,33,50
光合谷旅游度假区,天津市静海县团泊镇新城东区光合谷旅游度假区,4A,0.0,0.5,4
宁园,天津市河北区中山北路1号,4A,3.8,1.2,74
杨柳青庄园,天津市西青区杨柳青镇北津同公路20公里处杨柳青庄园,4A,0.0,19,75
天津萨马兰奇纪念馆,天津市静海区团泊新城西区健康产业园,4A,0.0,60,69
九龙山国家森林公园,天津市蓟州区蓟州区城东穿芳峪境内,3A,3.6,32,4
东疆湾人造黄金海岸,天津市滨海新区东疆港保税区山西路东疆湾景区内(近渤海石油),4A,0.0,48,85
水高庄园,天津市西青区辛口镇水高庄村,4A,0.0,65,74
鸽子窝公园,秦皇岛市北戴河东山鸽赤路,4A,3.9,23,36
避暑山庄,承德市双桥区丽正门路20号,5A,5.0,65,44
天下第一关（山海关）,秦皇岛市山海关区东大街1号,5A,3.7,10,50
驼梁,石家庄市平山县驼梁景区管理委员会（平山县合河口乡前大地村）,4A,3.8,59.9,70
秦皇岛野生动物园,秦皇岛市北戴河区滨海大道,4A,3.5,90,58
白石山世界地质公园,保定市涞源县城南15公里处白石山景区,5A,3.7,130,36
天河山（中国爱情山）,邢台市邢台县白岸乡清泉村天河山景区,4A,3.9,64.9,80
天山海世界,石家庄市桥东区高新技术产业天山大街116号,4A,3.6,108,42
易水湖,保定市易县大龙华乡金坡村易水湖景区,4A,0.0,110,98
