ID,Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Label
0,37,Travel_Rarely,Research & Development,1,4,Life Sciences,77,1,Male,2,2,Manufacturing Director,3,Divorced,5993,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7,0
1,54,Travel_Frequently,Research & Development,1,4,Life Sciences,1245,4,Female,3,3,Manufacturing Director,3,Divorced,10502,7,Y,No,17,3,1,80,1,33,2,1,5,4,1,4,0
2,34,Travel_Frequently,Research & Development,7,3,Life Sciences,147,1,Male,1,2,Laboratory Technician,3,Single,6074,1,Y,Yes,24,4,4,80,0,9,3,3,9,7,0,6,1
3,39,Travel_Rarely,Research & Development,1,1,Life Sciences,1026,4,Female,2,4,Manufacturing Director,4,Married,12742,1,Y,No,16,3,3,80,1,21,3,3,21,6,11,8,0
4,28,Travel_Frequently,Research & Development,1,3,Medical,1111,1,Male,2,1,Laboratory Technician,2,Divorced,2596,1,Y,No,15,3,1,80,2,1,2,3,1,0,0,0,1
5,24,Travel_Rarely,Sales,4,1,Medical,1445,4,Female,3,2,Sales Executive,3,Married,4162,1,Y,Yes,12,3,3,80,2,5,3,3,5,4,0,3,0
6,29,Travel_Rarely,Research & Development,9,5,Other,455,2,Male,2,1,Laboratory Technician,4,Single,3983,0,Y,No,17,3,3,80,0,4,2,3,3,2,2,2,0
7,36,Travel_Rarely,Sales,2,2,Medical,513,2,Male,2,3,Sales Executive,3,Married,7596,1,Y,No,13,3,2,80,2,10,2,3,10,9,9,0,0
8,33,Travel_Rarely,Research & Development,4,4,Medical,305,3,Female,2,1,Research Scientist,2,Married,2622,6,Y,No,21,4,4,80,0,7,3,3,3,2,1,1,0
9,34,Travel_Rarely,Research & Development,2,4,Technical Degree,1383,3,Female,3,2,Healthcare Representative,4,Single,6687,1,Y,No,11,3,4,80,0,14,2,4,14,11,4,11,0
10,24,Travel_Rarely,Human Resources,22,1,Human Resources,1714,4,Male,1,1,Human Resources,3,Married,1555,1,Y,No,11,3,3,80,1,1,2,3,1,0,0,0,1
11,35,Travel_Rarely,Research & Development,10,4,Medical,1587,1,Female,3,2,Healthcare Representative,3,Single,6142,3,Y,Yes,16,3,3,80,0,10,4,3,5,2,0,4,0
