时间,用户,星级,短评,支持数
2022-06-02 09:12:12,尖耳朵的小公举,三星,儿童剧扯上政治就是驴唇不对马嘴 两边都不讨好2022.6.1儿童节第一次去影院看哆啦A梦狠狠的失望了,7
2022-06-01 15:37:30,一條魚佔滿了河,三星,和舊版本比，大雄的人設被改編得討喜了一些，然而可惜，在這個故事裡，小夫、靜香、胖虎的高光時刻都太多了，存在感還是比他強，而舊版本的一些迷影元素也在改編中小時殆盡了。帕比在加冕儀式上的演講還是令人動容，也是因此，和其他劇場版不同，這一次的故事不僅僅是主角團五人組的勝利，而更是民智覺醒的勝利，“天賜我們自由”。,2
2022-05-29 14:34:36,二月鸟语,三星,致敬《星球大战》系列～,7
2022-05-30 16:09:58,JoeyLu陆柏宇,三星,还行吧，场面大节奏快,0
2022-05-28 14:47:29,练习曲,四星,每次看哆啦A梦都因为太过美好而想哭，有哆啦A梦陪着长大真是太好了！唯一需要吐槽的是小夫你穿着绿衣服开着绿坦克是怎么拍绿幕电影的啊hhhhh！,29
2022-06-01 18:06:20,freshtime,三星,儿童节带娃和老妈去看。娃中途百无聊赖，老妈睡得很香。即使是哆啦A梦的童年光环，也无法掩盖剧情的拖拉。结尾是进击的巨人既视感。,1
2022-05-28 15:56:30,中土剑圣塔里昂,四星,出木杉就开头结尾出场了，自由的主旨被渲染的过于肤浅，仿佛小孩子过家家喊喊口号，就能消灭独裁了。皮娜这个角色可有可无。哆啦A梦不该只有这个水平，幼稚了，打四星完全是看情怀。,23
2022-05-28 18:03:39,kiki204629,四星,每当大雄绝望的大哭，哆啦A梦就是他希望的光。小夫虽然有点怂，但他确是五人组里最有创造力想象力的，从天而降的反重力坦克去参加宇宙大战；静香洗澡这个梗是没办法改变了，但她也是五人组凝聚力的体现，女性视角的细微敏感鼓励着大家；胖虎这次太威风了，拳打脚踢一顿操作猛如虎，打的敌方战舰节节溃败；大雄啊，他最大的优点就是善良吧，这是个很宝贵的优点。五人组的主心骨就是哆啦A梦了，感谢蓝胖子陪伴他们我们成长！六一快乐鸭🦆,26
2022-06-01 23:20:50,葛攀,三星,这种时候去看一部背景带着自由，上街，老大哥看着你的哆啦A梦，也是有点恍惚的感觉。2022北京5月疫情电影院恢复后的第一场电影。,2
2022-05-31 23:43:16,有心人。,三星,——天赐我们自由——六一儿童节快乐,7
2022-05-29 23:50:13,蒋灿,四星,——天赐我们自由！——你们这帮用恐惧和虚伪来统治人民的独裁者，总有一天会受到群众的反抗！,27
2022-05-28 12:59:55,夏桑,四星,好久没进电影院了，包场的感觉真好。有原著打底，真是破船也有三根钉，有趣的部分全是藤子·F.不二雄的，改编部分实在毫无必要（你说你搞一个姐姐形象干啥，原作本来就有无性别的象征意味，隐喻最广泛的人被压迫），不如老老实实出个重制版。不过，幼时看只觉得有趣，现在看才发现左翼艺术家的笔法。这本质上还是一个走向gh与恢复dz角力的故事（这样得故事如今是越来越少见了），流亡总统和将军真是怎么看怎么眼熟。异星人依靠人类确立了天赐的权力，如今人类自己却身处两难的岔路口，看不到未来……,22
2022-05-28 19:00:34,拥桑,二星,巨失望，越来越大人话和现实化。用抖音全球式烂梗填充元宇宙，一顿花里花俏，本质就是《星球大战》，美国用《阿波罗》怀旧太空梦，用哆啦A梦做引，拍《星球大战》，《大人国与小人国》，巨人善良与小人狭隘，宇宙跳跃，宇宙飞船大战，反战，塞的满满当当给人们，最后用和解善良的友情结尾，哦！友情与善良的确是一切的解决。,5
2022-05-30 08:25:08,𝔹𝕒𝕒 𝔹𝕒𝕒 𝕊𝕠𝕟𝕘,三星,是天真的童话，是“恶意的”政治隐喻与预言：愤怒的人群、开上大街的坦克、不可一世又最终绝望地跪倒在人民面前的独裁者。哆啦A梦的超长篇里有不少篇目都有类似的面向孩童的经过简化处理后浅显直白且严肃深刻的命题说理，关于人、关于自然、关于政治。自己幼年能被这样的作品启蒙真是幸福，彼时“普世价值”还是正面概念，我也天真地以为事物总会前进前进再前进。,3
2022-05-30 21:26:58,道轍,四星,修了一些旧版不太合理的地方，但加了个重要人物和改动了一些故事线让漏洞更多了（扶额）；很多笑点改没了，包括那个加速药水，话痨狗竟然是梶裕贵配音但台词不够旧版好玩；连〈少年期〉也要删我的 TAT 不过新版特效做得真好（一人包场看完。,3
2022-05-28 20:42:42,超能力小苏,三星,虽然是去年的小学生的幼稚动画电影（后排的幼儿园小朋友都看得中途退场），但是看完字幕发现皮娜的配音是mayu就又觉得赚到了耶！,6
2022-05-28 16:06:01,Lord Voldemort,四星,一般，你知道主角肯定赢的没啥悬念，不过儿童题材能拍反毒菜的剧情也是挺难得的，加一星。,7
2022-05-28 10:09:21,可爱猫猫,五星,天赐我们自由,18
2022-05-28 13:10:46,Rabbitの胡萝卜,二星,技术大升级，动作场面确实有更大的进步了也。然后就是镜头也更讲究了，各种镜头语言的运用也刺激。但是自以为是的制作组把老版的特色全删没了，整了些不明所以的东西，自以为填了坑，其实搞得毫无逻辑，没有可看性，昏昏欲睡，模仿好莱坞大片爆米花模式，可是哆啦A梦是靠想象力与童真取胜的啊！,12
2022-05-22 08:28:17,ericxu,四星,其实也可以吧，前半段挺无聊但后半段我崩了❤️,3
2021-07-09 12:56:50,酒吞,三星,涉及医疗-抢救的部分能看，剩下的就……,179
2021-07-09 09:24:02,流浪野王,五星,看到快递老赵语音的时候哭了，张子枫问出问题的时候哭了，我玺躺在病床上我就忍不住哭了，最后我玺术前说话也哭了。为我玺演技越来越成熟感到骄傲，感谢为这场疫情付出的所有人！,1486
2021-07-06 19:32:54,emperorK,五星,让人相信是这个故事最不易的一点，这部片做到了。节奏情绪细节的把控都很好。大群像还能做出人物了不起。朱亚文的广州医生非常可爱，和李晨的上海医生莫名有cp感。易烊千玺张子枫real小年轻里掌握接力棒的种子选手。,627
2021-07-09 13:55:46,Jack,五星,太好看了，感动，张涵予袁泉朱亚文千玺都是演技派,597
2021-07-09 12:20:56,和解,四星,单已电影来讲不值四星，但满足了我对真实救治情节的好奇，多给一分有一个，捐赠奶奶遗体的小哥有点出戏；杨小羊前部分很可爱，后部分善良但不符合理性逻辑；张子枫恭献了全电影最人性一问；演员都没啥问题总体来说，中国机长2.0,73
2021-07-28 10:03:40,斯里兰卡豆腐脑,一星,拉回了疫情时期每天心情像坐过山车的日子，是回忆给我们的感动，不是电影。,60
2021-07-09 14:54:16,非主刘,四星,仿佛回到了那个最艰难的时候，没有刻意煽情，袁泉演技真的不错👍，她有一个单独的镜头拍的很漂亮。但有时感觉音乐多余，还有那俩护士让我很出戏，没搞明白为啥加这几秒，总体不错，值得一看。明年武汉樱花开的时候去看看。,74
2021-07-09 13:01:38,小透明,三星,几个重要转折点拍的不是很好,218
2021-07-09 09:38:52,瑜不可及,五星,张涵予老师演的太像了 每个动作。 朱亚文易洋千玺的可爱。方舱里放的火红的萨日朗直戳我心！这部电影值得,384
2021-07-09 02:50:22,慕子书,四星,南京首映，致敬所有人的付出。 张子枫未来可期，朱亚文依旧是我喜欢的痞帅！,69
2021-07-09 11:45:00,爆米花很甜,三星,故事太叙述的太平了，流水账一般。剪辑节奏把握的不是很好刚有些急救过程正情绪紧张的时候，突然就跳转到一个生活化的场景。唯一感染到我的是张子枫那一分钟的戏份，很有带入感。外卖员小夫妻的戏份虽然从头到尾贯穿，但是演员的演技表达的不够准确…,177
