CountyName,CountyFIPScode,StateName,TotalCases,TotalDeath,LastReportedDate
Weston,56045,Wyoming,1408,16,2022-01-26
Washakie,56043,Wyoming,2092,41,2022-01-26
Uinta,56041,Wyoming,5167,34,2022-01-26
Teton,56039,Wyoming,9121,15,2022-01-26
Sweetwater,56037,Wyoming,9810,115,2022-01-26
Sublette,56035,Wyoming,1751,25,2022-01-26
Sheridan,56033,Wyoming,7359,63,2022-01-26
Platte,56031,Wyoming,1760,38,2022-01-26
Park,56029,Wyoming,6285,126,2022-01-26
Niobrara,56027,Wyoming,544,8,2022-01-26
Natrona,56025,Wyoming,20320,253,2022-01-26
Lincoln,56023,Wyoming,3690,27,2022-01-26
Laramie,56021,Wyoming,23376,250,2022-01-26
Johnson,56019,Wyoming,1751,18,2022-01-26
Hot Springs,56017,Wyoming,1016,14,2022-01-26
Goshen,56015,Wyoming,3152,53,2022-01-26
Fremont,56013,Wyoming,11962,169,2022-01-26
Crook,56011,Wyoming,1206,22,2022-01-26
Converse,56009,Wyoming,2878,49,2022-01-26
Carbon,56007,Wyoming,3935,50,2022-01-26
Campbell,56005,Wyoming,11030,134,2022-01-26
Big Horn,56003,Wyoming,2351,60,2022-01-26
Albany,56001,Wyoming,9126,45,2022-01-26
Wood,55141,Wisconsin,19123,195,2022-01-26
Winnebago,55139,Wisconsin,47603,331,2022-01-26
Waushara,55137,Wisconsin,5944,76,2022-01-26
Waupaca,55135,Wisconsin,12785,235,2022-01-26
Waukesha,55133,Wisconsin,106370,915,2022-01-26
Washington,55131,Wisconsin,36230,263,2022-01-26
Washburn,55129,Wisconsin,3669,39,2022-01-26
Walworth,55127,Wisconsin,25234,251,2022-01-26
Vilas,55125,Wisconsin,4800,83,2022-01-26
Vernon,55123,Wisconsin,5313,78,2022-01-26
Trempealeau,55121,Wisconsin,7837,58,2022-01-26
Taylor,55119,Wisconsin,4590,63,2022-01-26
St. Croix,55109,Wisconsin,22605,126,2022-01-26
Sheboygan,55117,Wisconsin,30263,224,2022-01-26
Shawano,55115,Wisconsin,11062,121,2022-01-26
Sawyer,55113,Wisconsin,4282,53,2022-01-26
Sauk,55111,Wisconsin,14758,91,2022-01-26
Rusk,55107,Wisconsin,3205,45,2022-01-26
Rock,55105,Wisconsin,39323,312,2022-01-26
Richland,55103,Wisconsin,3491,39,2022-01-26
Racine,55101,Wisconsin,53640,591,2022-01-26
Price,55099,Wisconsin,3001,27,2022-01-26
Portage,55097,Wisconsin,16762,137,2022-01-26
Polk,55095,Wisconsin,11286,112,2022-01-26
Pierce,55093,Wisconsin,10648,65,2022-01-26
Pepin,55091,Wisconsin,1821,16,2022-01-26
Ozaukee,55089,Wisconsin,20824,138,2022-01-26
Outagamie,55087,Wisconsin,51302,323,2022-01-26
Oneida,55085,Wisconsin,7967,120,2022-01-26
Oconto,55083,Wisconsin,10869,94,2022-01-26
Monroe,55081,Wisconsin,11029,73,2022-01-26
Milwaukee,55079,Wisconsin,257859,1947,2022-01-26
Menominee,55078,Wisconsin,1758,12,2022-01-26
Marquette,55077,Wisconsin,3554,46,2022-01-26
Marinette,55075,Wisconsin,10754,100,2022-01-26
Marathon,55073,Wisconsin,36507,442,2022-01-26
Manitowoc,55071,Wisconsin,19160,165,2022-01-26
Lincoln,55069,Wisconsin,6495,126,2022-01-26
Langlade,55067,Wisconsin,4886,69,2022-01-26
Lafayette,55065,Wisconsin,3390,19,2022-01-26
La Crosse,55063,Wisconsin,31600,151,2022-01-26
Kewaunee,55061,Wisconsin,5598,53,2022-01-26
Kenosha,55059,Wisconsin,41842,555,2022-01-26
Juneau,55057,Wisconsin,7184,57,2022-01-26
Jefferson,55055,Wisconsin,19904,203,2022-01-26
Jackson,55053,Wisconsin,5355,40,2022-01-26
Iron,55051,Wisconsin,1376,44,2022-01-26
Iowa,55049,Wisconsin,4680,24,2022-01-26
Green Lake,55047,Wisconsin,4664,54,2022-01-26
Green,55045,Wisconsin,8243,48,2022-01-26
Grant,55043,Wisconsin,11710,135,2022-01-26
Forest,55041,Wisconsin,2464,47,2022-01-26
Fond du Lac,55039,Wisconsin,29835,205,2022-01-26
Florence,55037,Wisconsin,976,15,2022-01-26
Eau Claire,55035,Wisconsin,27607,171,2022-01-26
Dunn,55033,Wisconsin,12227,63,2022-01-26
Douglas,55031,Wisconsin,10392,71,2022-01-26
Door,55029,Wisconsin,6609,53,2022-01-26
Dodge,55027,Wisconsin,25291,290,2022-01-26
Dane,55025,Wisconsin,111821,452,2022-01-26
Crawford,55023,Wisconsin,3894,28,2022-01-26
Columbia,55021,Wisconsin,13985,113,2022-01-26
Clark,55019,Wisconsin,7175,111,2022-01-26
Chippewa,55017,Wisconsin,17405,157,2022-01-26
Calumet,55015,Wisconsin,13711,101,2022-01-26
Burnett,55013,Wisconsin,3622,37,2022-01-26
Buffalo,55011,Wisconsin,3133,11,2022-01-26
Brown,55009,Wisconsin,79229,410,2022-01-26
Bayfield,55007,Wisconsin,2868,36,2022-01-26
Barron,55005,Wisconsin,12567,124,2022-01-26
Ashland,55003,Wisconsin,2932,29,2022-01-26
