大数据算法,哈尔滨工业大学,王宏志,109351人参加,计算机
Python科学计算三维可视化,北京理工大学,黄天羽,1140人参加,计算机
C语言程序设计进阶,浙江大学,翁恺,2950人参加,计算机
网络与新媒体应用模式,华中科技大学,李卫东,986人参加,文学文化
环境设施设计,江南大学,张凌浩,195人参加,艺术设计
服装流行分析与预测,浙江理工大学,刘丽娴,404人参加,艺术设计
汽车发动机构造,天津大学,高文志,225人参加,工学
预防医学（二）,复旦大学,戴俊明,175人参加,医药卫生
数据结构,浙江大学,陈越,59085人参加,计算机
风景园林景观规划设计基本原理,同济大学,刘滨谊,167人参加,工学
风景园林景观规划原理,同济大学,刘滨谊,160人参加,工学
中国近现代史纲要,武汉大学,宋俭,6495人参加,法学
电子技术应用实验1（数字电路基础实验）,电子科技大学,陈瑜,1745人参加,工学
电路分析基础,电子科技大学,钟洪声,6920人参加,工学
无机及分析化学（下）,华中农业大学,王运,2149人参加,理学
流行病学基础（二）,北京大学,吴涛,392人参加,医药卫生
中医养生与亚健康防治,暨南大学,孙升云,2517人参加,医药卫生
创业团队建设与管理,首都经济贸易大学,马力,2016人参加,管理学
电气与电子测量技术,上海交通大学,罗利文,936人参加,工学
经济数学—线性代数,武汉理工大学,杨文霞,2442人参加,理学
海洋与人类文明的生产,福州大学,苏文菁,442人参加,理学
公司金融学,西南财经大学,许志,1923人参加,经济学
中国衣裳——传统服装文化,西南交通大学,李任飞,1782人参加,文学文化
数学分析（四）,华东师范大学,柴俊,1577人参加,理学
大学生科技创新课程之交通科技大赛,西南交通大学,张祖涛,215人参加,工学
英语教学与互联网,爱课程,焦建利,717人参加,教育教学
材料力学性能,西北工业大学,张程煜,307人参加,工学
社会调查与研究方法,北京大学,邱泽奇,6642人参加,法学
美在民间,南京农业大学,胡燕,969人参加,艺术设计
思想道德与法治,武汉大学,佘双好,23818人参加,法学
计算机操作系统,南京大学,骆斌,2103人参加,计算机
Python语言程序设计,北京理工大学,嵩天,169693人参加,计算机
心理学与生活,南京大学,陈昌凯,32146人参加,心理学
程序设计入门——C语言,浙江大学,翁恺,98223人参加,计算机
算法设计与问题求解,北京交通大学,李清勇,841人参加,计算机
老子的人生智慧,东北大学,张雷,2955人参加,哲学
大学物理—力学、振动与波动,大连理工大学,李雪春,5355人参加,理学
软件安全之恶意代码机理与防护,武汉大学,彭国军,645人参加,计算机
趣味生物学实验,山东大学,郭卫华,684人参加,理学
