housing_median_age,population,median_income,month,median_house_value,ocean_proximity
41,322,8.3252,1,452600,NEAR BAY
21,2401,8.3014,1,358500,NEAR BAY
52,496,7.2574,1,352100,NEAR BAY
52,558,5.6431,1,341300,NEAR BAY
52,565,3.8462,1,342200,NEAR BAY
52,413,4.0368,1,269700,NEAR BAY
52,1094,3.6591,1,299200,NEAR BAY
52,1157,3.12,1,241400,NEAR BAY
42,1206,2.0804,1,226700,NEAR BAY
52,1551,3.6912,1,261100,NEAR BAY
52,910,3.2031,1,281500,NEAR BAY
52,1504,3.2705,1,241800,NEAR BAY
52,1098,3.075,1,213500,NEAR BAY
52,345,2.6736,1,191300,NEAR BAY
52,1212,1.9167,1,159200,NEAR BAY
50,697,2.125,1,140000,NEAR BAY
52,793,2.775,1,152500,NEAR BAY
52,648,2.1202,1,155500,NEAR BAY
50,990,1.9911,1,158700,NEAR BAY
52,690,2.6033,1,162900,NEAR BAY
40,409,1.3578,1,147500,NEAR BAY
42,929,1.7135,1,159800,NEAR BAY
52,1015,1.725,1,113900,NEAR BAY
52,853,2.1806,1,99700,NEAR BAY
52,1006,2.6,1,132600,NEAR BAY
41,317,2.4038,1,107500,NEAR BAY
49,607,2.4597,1,93800,NEAR BAY
52,1102,1.808,1,105500,NEAR BAY
50,1131,1.6424,1,108900,NEAR BAY
52,395,1.6875,1,132000,NEAR BAY
49,863,1.9274,1,122300,NEAR BAY
52,1168,1.9615,1,115200,NEAR BAY
48,1026,1.7969,1,110400,NEAR BAY
49,754,1.375,1,104900,NEAR BAY
51,1258,2.7303,1,109700,NEAR BAY
49,570,1.4861,1,97200,NEAR BAY
48,987,1.0972,1,104500,NEAR BAY
52,901,1.4103,1,103900,NEAR BAY
52,689,3.48,1,191400,NEAR BAY
52,1377,2.5898,1,176000,NEAR BAY
52,946,2.0978,1,155400,NEAR BAY
51,517,1.2852,1,150000,NEAR BAY
49,462,1.025,1,118800,NEAR BAY
52,467,3.9643,1,188800,NEAR BAY
52,660,3.0125,1,184400,NEAR BAY
52,718,2.6768,1,182300,NEAR BAY
50,616,2.026,1,142500,NEAR BAY
43,558,1.7348,1,137500,NEAR BAY
40,423,0.9506,1,187500,NEAR BAY
40,700,1.775,1,112500,NEAR BAY
21,735,0.9218,1,171900,NEAR BAY
43,1061,1.5045,1,93800,NEAR BAY
41,1959,1.1108,1,97500,NEAR BAY
52,1162,1.2475,1,104200,NEAR BAY
52,701,1.6098,1,87500,NEAR BAY
52,576,1.4113,1,83100,NEAR BAY
52,622,1.5057,1,87500,NEAR BAY
52,728,0.8172,1,85300,NEAR BAY
52,1074,1.2171,1,80300,NEAR BAY
2,94,2.5625,1,60000,NEAR BAY
52,554,3.3929,1,75700,NEAR BAY
49,86,6.1183,1,75000,NEAR BAY
50,377,0.9011,1,86100,NEAR BAY
52,521,1.191,1,76100,NEAR BAY
48,392,2.5938,1,73500,NEAR BAY
52,604,1.1667,1,78400,NEAR BAY
48,788,0.8056,1,84400,NEAR BAY
52,492,2.6094,1,81300,NEAR BAY
52,274,1.8516,1,85000,NEAR BAY
46,1823,0.9802,1,129200,NEAR BAY
26,392,1.7719,1,82500,NEAR BAY
46,582,0.7286,1,95200,NEAR BAY
49,560,1.75,1,75000,NEAR BAY
46,18,0.4999,1,67500,NEAR BAY
20,290,2.483,1,137500,NEAR BAY
17,762,0.9241,1,177500,NEAR BAY
36,1236,2.4464,1,102100,NEAR BAY
19,721,1.1111,1,108300,NEAR BAY
23,1054,0.8026,1,112500,NEAR BAY
38,344,2.0114,1,131300,NEAR BAY
17,609,1.5,1,162500,NEAR BAY
52,183,1.1667,1,112500,NEAR BAY
52,200,1.5208,1,112500,NEAR BAY
52,346,0.8075,1,137500,NEAR BAY
35,467,1.8088,1,118800,NEAR BAY
52,377,2.4083,1,98200,NEAR BAY
40,582,0.977,1,118800,NEAR BAY
10,546,0.76,1,162500,NEAR BAY
10,125,0.9722,1,137500,NEAR BAY
52,396,1.2434,1,500001,NEAR BAY
16,800,2.0938,1,162500,NEAR BAY
52,904,0.8668,1,137500,NEAR BAY
52,191,0.75,1,162500,NEAR BAY
27,718,2.6354,1,187500,NEAR BAY
39,1327,1.8477,1,179200,NEAR BAY
36,3469,2.0096,1,130000,NEAR BAY
31,2048,2.8345,1,183800,NEAR BAY
29,202,2.0062,1,125000,NEAR BAY
22,2024,1.2185,1,170000,NEAR BAY
37,1838,2.6104,1,193100,NEAR BAY
29,2304,2.4912,1,257800,NEAR BAY
28,2563,3.2177,1,273400,NEAR BAY
39,389,3.125,1,237500,NEAR BAY
52,895,2.5795,1,350000,NEAR BAY
34,2689,2.8406,1,335700,NEAR BAY
52,674,4.9306,1,313400,NEAR BAY
52,709,3.2727,1,268500,NEAR BAY
52,686,3.1691,1,259400,NEAR BAY
52,1444,3.9,1,275700,NEAR BAY
28,1520,3.9063,1,225000,NEAR BAY
52,550,5.0917,1,262500,NEAR BAY
32,1806,2.6429,1,218500,NEAR BAY
26,1749,3.0233,1,255000,NEAR BAY
52,939,3.1484,1,224100,NEAR BAY
