,totalprice,houseinfo,followinfo
0,512,2室1厅 | 57.8平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,51人关注 / 23天以前发布
1,658,2室1厅 | 73.52平米 | 西南 | 精装 | 低楼层(共24层) | 1998年建 | 塔楼,22人关注 / 22天以前发布
2,279,2室1厅 | 62.95平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,74人关注 / 一年前发布
3,410,2室1厅 | 93.65平米 | 东 南 | 精装 | 低楼层(共19层) | 2017年建 | 板楼,94人关注 / 10个月以前发布
4,268,2室1厅 | 90.81平米 | 南 北 | 精装 | 中楼层(共14层) | 2011年建 | 板楼,334人关注 / 一年前发布
5,360,1室0厅 | 71.11平米 | 东 | 简装 | 高楼层(共24层) | 2004年建 | 塔楼,25人关注 / 29天以前发布
6,620,2室1厅 | 91.23平米 | 西南 | 简装 | 中楼层(共28层) | 1992年建 | 塔楼,17人关注 / 8天以前发布
7,640,3室2厅 | 160.16平米 | 南 北 | 精装 | 中楼层(共4层) | 2001年建 | 板塔结合,3人关注 / 3天以前发布
8,599,4室2厅 | 181.18平米 | 南 北 | 精装 | 底层(共7层) | 2002年建 | 板楼,12人关注 / 3个月以前发布
9,570,3室2厅 | 164.8平米 | 东南 北 | 简装 | 低楼层(共14层) | 2003年建 | 板楼,8人关注 / 5天以前发布
10,420,1室1厅 | 53.72平米 | 南 北 | 简装 | 中楼层(共5层) | 1995年建 | 板楼,23人关注 / 2个月以前发布
11,650,3室1厅 | 147.83平米 | 南 北 | 精装 | 6层 | 2017年建 | 板楼,15人关注 / 12天以前发布
12,680,4室2厅 | 166.87平米 | 南 北 | 精装 | 中楼层(共6层) | 2004年建 | 板楼,34人关注 / 14天以前发布
13,1085,3室1厅 | 104平米 | 南 北 | 精装 | 低楼层(共6层) | 2012年建 | 板楼,65人关注 / 11天以前发布
14,1252,3室1厅 | 95.93平米 | 东南 | 简装 | 高楼层(共17层)  | 塔楼,19人关注 / 8天以前发布
15,599.9,1室1厅 | 92.47平米 | 南 | 精装 | 低楼层(共18层) | 2003年建 | 板楼,321人关注 / 一年前发布
16,596,3室1厅 | 124.27平米 | 南 北 | 简装 | 底层(共7层) | 2002年建 | 板楼,7人关注 / 11天以前发布
