MMSI,BaseDateTime,LAT,LON,SOG,COG
412366332,2019-01-04 00:00:00,35.1097533,119.770905,9.7,228.8
412366332,2019-01-04 00:05:00,35.1012684,119.758288,9.6,232.233333
412366332,2019-01-04 00:10:00,35.0926595,119.745806,9.74937759,224.353112
412366332,2019-01-04 00:15:00,35.0840056,119.733262,9.50125,233.859167
412366332,2019-01-04 00:20:00,35.0753619,119.721206,9.42416667,232.969167
412366332,2019-01-04 00:25:00,35.0660733,119.709746,9.59833333,224.8425
412366332,2019-01-04 00:30:00,35.056639,119.701407,9.52990444,225.873656
412366332,2019-01-04 00:35:00,35.0473197,119.695225,9.24322653,226.840491
412366332,2019-01-04 00:40:00,35.038,119.689045,8.95654862,227.807326
412366332,2019-01-04 00:45:00,35.02868,119.682867,8.66987071,228.774162
412366332,2019-01-04 00:50:00,35.0193597,119.67669,8.3831928,229.740997
412366332,2019-01-04 00:55:00,35.010039,119.670514,8.0965149,230.707832
412366332,2019-01-04 01:00:00,35.000718,119.66434,7.80983699,231.674667
412366332,2019-01-04 01:05:00,34.9913967,119.658167,7.52315908,232.641503
412366332,2019-01-04 01:10:00,34.9820751,119.651995,7.23648117,233.608338
412366332,2019-01-04 01:15:00,34.9727531,119.645825,6.94980326,234.575173
412366332,2019-01-04 01:20:00,34.9634308,119.639656,6.66312535,235.542009
412366332,2019-01-04 01:25:00,34.9541082,119.633489,6.37644744,236.508844
412366332,2019-01-04 01:30:00,34.9447852,119.627323,6.08976953,237.475679
412366332,2019-01-04 01:35:00,34.9354619,119.621159,5.80309162,238.442515
412366332,2019-01-04 01:40:00,34.9261383,119.614995,5.51641372,239.40935
412366332,2019-01-04 01:45:00,34.9168144,119.608834,5.22973581,240.376185
412366332,2019-01-04 01:50:00,34.9074901,119.602673,4.9430579,241.34302
412366332,2019-01-04 01:55:00,34.8981655,119.596514,4.65637999,242.309856
412366332,2019-01-04 02:00:00,34.8931491,119.59076,4.6,221.051
412366332,2019-01-04 02:05:00,34.8887965,119.585428,4.43933333,228.171333
412366332,2019-01-04 02:10:00,34.8851399,119.579224,4.27641026,240.160256
412366332,2019-01-04 02:15:00,34.88305,119.573169,4.85652174,204.686701
412366332,2019-01-04 02:20:00,34.8824584,119.570142,5.63333333,129.383333
412366332,2019-01-04 02:25:00,34.8824417,119.57771,4.3,78.8
412366332,2019-01-04 02:30:00,34.8828001,119.585724,4.65714286,90.5142857
412366332,2019-01-04 02:35:00,34.8834644,119.593696,4.98,86.98
412366332,2019-01-04 02:40:00,34.883419,119.601629,4.88181818,82.7
412366332,2019-01-04 02:45:00,34.8844031,119.605574,4.60033223,177.736545
412366332,2019-01-04 02:50:00,34.8859414,119.601783,4.59085366,269.946951
412366332,2019-01-04 02:55:00,34.8858805,119.594145,4.66344411,266.561329
412366332,2019-01-04 03:00:00,34.8854154,119.586547,4.6,266.614286
412366332,2019-01-04 03:05:00,34.8857332,119.579182,4.6,269.328571
412366332,2019-01-04 03:10:00,34.8839623,119.571811,4.51818182,251.763636
412366332,2019-01-04 03:15:00,34.8811816,119.567719,6.1744186,118.231894
412366332,2019-01-04 03:20:00,34.8821066,119.573187,5.23428571,87.8038095
412366332,2019-01-04 03:25:00,34.8828532,119.580782,4.47766667,100.608333
412366332,2019-01-04 03:30:00,34.8820857,119.588334,4.71914894,101.574468
412366332,2019-01-04 03:35:00,34.8827303,119.59585,4.52826603,72.2897862
412366332,2019-01-04 03:40:00,34.8857089,119.602873,4.95581948,66.5890736
412366332,2019-01-04 03:45:00,34.8875307,119.609709,2.95592705,208.431003
412366332,2019-01-04 03:50:00,34.8876197,119.612062,1.65176715,157.422453
412366332,2019-01-04 03:55:00,34.8875672,119.613338,0.980277778,78.5775
412366332,2019-01-04 04:00:00,34.88857,119.614769,1.89694444,100.3275
412366332,2019-01-04 04:05:00,34.8889946,119.615115,1.56804124,81.9051546
412366332,2019-01-04 04:10:00,34.8894173,119.615458,1.23497224,63.3484536
