"Fleet","Gear","Year","MonthStart","MonthEnd","iGrid","Grid","Effort","EffortUnits","QualityCode","Source","YFT-NO","YFT-MT","BET-NO","BET-MT","SKJ-NO","SKJ-MT","ALB-NO","ALB-MT","SBF-NO","SBF-MT","LOT-NO","LOT-MT","FRZ-NO","FRZ-MT","KAW-NO","KAW-MT","COM-NO","COM-MT","SWO-NO","SWO-MT","BILL-NO","BILL-MT","TUX-NO","TUX-MT","SKH-NO","SKH-MT","NTAD-NO","NTAD-MT"
"LKA    ","GIOF",2017,9,9,"5100051   ",5100051,1.00,"TRIPS","3","LO",,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,
"LKA    ","GIOF",2016,3,3,"5100057   ",5100057,3.00,"TRIPS","3","LO",,,,,,0.70,,,,,,,,,,,,,,0.10,,0.20,,,,1.20,,
"LKA    ","GIOF",2016,4,4,"5100057   ",5100057,3.00,"TRIPS","3","LO",,6.50,,,,,,,,,,,,,,,,,,,,,,,,0.40,,
"LKA    ","GIOF",2016,3,3,"5100058   ",5100058,3.00,"TRIPS","3","LO",,,,,,0.40,,,,,,,,,,,,,,,,0.10,,,,0.20,,
"LKA    ","GIOF",2016,3,3,"5100059   ",5100059,2.00,"TRIPS","3","LO",,,,,,0.40,,,,,,,,,,,,,,0.10,,,,,,0.10,,
"LKA    ","GIOF",2016,4,4,"5100059   ",5100059,3.00,"TRIPS","3","LO",,5.70,,0.10,,,,0.60,,,,,,,,,,,,,,,,,,0.50,,
"MDV    ","LLCO",2017,2,2,"5100060   ",5100060,1350.00,"HOOKS","0","LO",,2.95,,1.70,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2017,3,3,"5100060   ",5100060,1260.00,"HOOKS","0","LO",,4.29,,0.68,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2017,5,5,"5100060   ",5100060,3157.00,"HOOKS","0","LO",,2.44,,1.34,,,,,,,,,,,,,,,,0.05,,,,,,,,
"LKA    ","GIOF",2017,4,4,"5100062   ",5100062,1.00,"TRIPS","3","LO",,0.10,,,,0.40,,,,,,,,,,,,,,0.10,,0.20,,,,0.10,,
"MDV    ","LLCO",2017,2,2,"5100062   ",5100062,1350.00,"HOOKS","0","LO",,2.05,,1.03,,,,,,,,,,,,,,,,,,,,,,,,
"LKA    ","GIOF",2017,4,4,"5100063   ",5100063,1.00,"TRIPS","3","LO",,,,,,0.20,,,,,,,,,,,,,,,,0.10,,,,0.10,,
"MDV    ","LLCO",2017,1,1,"5100063   ",5100063,1260.00,"HOOKS","0","LO",,6.17,,4.32,,,,,,,,,,,,,,,,3.80,,,,,,,,
"MDV    ","LLCO",2017,4,4,"5100063   ",5100063,1560.00,"HOOKS","0","LO",,4.00,,3.00,,,,,,,,,,,,,,,,,,,,,,,,
"LKA    ","GIOF",2017,4,4,"5100065   ",5100065,1.00,"TRIPS","3","LO",,0.10,,,,1.50,,,,,,,,,,,,,,,,0.10,,,,0.20,,
"MDV    ","LLCO",2016,6,6,"5100065   ",5100065,6720.00,"HOOKS","0","LO",,0.14,,0.18,,,,,,,,,,,,,,,,0.34,,0.89,,,,,,
"MDV    ","LLCO",2017,4,4,"5100065   ",5100065,2520.00,"HOOKS","0","LO",,8.66,,5.62,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2017,9,9,"5100065   ",5100065,1632.00,"HOOKS","0","LO",,11.25,,4.15,,,,,,,,,,,,,,,,,,,,,,,,
"LKA    ","GIOF",2015,8,8,"5100066   ",5100066,10.00,"TRIPS","0","LO",,0.93,,,,1.90,,,,,,,,,,,,,,,,0.05,,,,0.10,,
"LKA    ","GIOF",2017,4,4,"5100066   ",5100066,1.00,"TRIPS","3","LO",,,,,,0.80,,,,,,,,,,,,,,,,0.70,,,,0.30,,
"MDV    ","LLCO",2017,1,1,"5100066   ",5100066,1645.00,"HOOKS","0","LO",,0.03,,0.02,,,,0.01,,,,,,,,,,,,,,0.05,,,,,,
"MDV    ","LLCO",2017,2,2,"5100066   ",5100066,1350.00,"HOOKS","0","LO",,10.32,,1.82,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2017,10,10,"5100066   ",5100066,1650.00,"HOOKS","0","LO",,9.80,,3.26,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2014,12,12,"5100067   ",5100067,6000.00,"HOOKS","0","LO",,0.25,,0.55,,,,,,,,,,,,,,,,1.07,,0.02,,,,,,0.01
"MDV    ","LLCO",2016,4,4,"5100067   ",5100067,4800.00,"HOOKS","0","LO",,1.42,,0.23,,0.02,,,,,,,,,,,,,,0.06,,,,,,,,0.04
"MDV    ","LLCO",2016,6,6,"5100067   ",5100067,6000.00,"HOOKS","0","LO",,1.38,,0.12,,,,,,,,,,,,,,,,0.07,,0.14,,,,,,
"MDV    ","LLCO",2016,7,7,"5100067   ",5100067,4448.00,"HOOKS","0","LO",,0.03,,0.21,,,,,,,,,,,,,,,,0.06,,0.27,,,,,,
"MDV    ","LLCO",2016,8,8,"5100067   ",5100067,3136.00,"HOOKS","0","LO",,0.06,,0.27,,,,,,,,,,,,,,,,,,0.37,,,,,,
"MDV    ","LLCO",2017,1,1,"5100067   ",5100067,1480.00,"HOOKS","0","LO",,0.05,,0.02,,,,,,,,,,,,,,,,,,0.14,,,,,,
"MDV    ","LLCO",2017,3,3,"5100067   ",5100067,1645.00,"HOOKS","0","LO",,1.53,,0.29,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2017,4,4,"5100067   ",5100067,1632.00,"HOOKS","0","LO",,4.39,,1.92,,,,,,,,,,,,,,,,0.06,,,,,,,,
"MDV    ","LLCO",2017,5,5,"5100067   ",5100067,3000.00,"HOOKS","0","LO",,0.35,,0.50,,,,0.02,,,,,,,,,,,,,,0.20,,,,,,
"MDV    ","LLCO",2017,9,9,"5100067   ",5100067,1600.00,"HOOKS","0","LO",,2.97,,0.72,,,,,,,,,,,,,,,,0.38,,,,,,,,
"MDV    ","LLCO",2017,11,11,"5100067   ",5100067,3300.00,"HOOKS","0","LO",,1.56,,2.57,,,,,,,,,,,,,,,,,,,,,,,,
"MDV    ","LLCO",2016,3,3,"5100068   ",5100068,16412.00,"HOOKS","0","LO",,11.41,,0.32,,,,,,,,,,,,,,,,,,0.06,,,,,,
"MDV    ","LLCO",2016,4,4,"5100068   ",5100068,1600.00,"HOOKS","0","LO",,0.40,,,,,,,,,,,,,,,,,,,,0.12,,,,,,
"MDV    ","LLCO",2016,5,5,"5100068   ",5100068,6136.00,"HOOKS","0","LO",,0.23,,0.13,,0.01,,,,,,,,,,,,,,0.18,,0.16,,,,,,
"MDV    ","LLCO",2016,6,6,"5100068   ",5100068,8640.00,"HOOKS","0","LO",,4.02,,0.28,,,,1.34,,,,,,,,,,,,,,0.74,,,,,,
"MDV    ","LLCO",2016,7,7,"5100068   ",5100068,2880.00,"HOOKS","0","LO",,,,0.02,,,,,,,,,,,,,,,,0.13,,0.03,,,,,,
"MDV    ","LLCO",2016,8,8,"5100068   ",5100068,9536.00,"HOOKS","0","LO",,,,0.42,,,,,,,,,,,,,,,,0.21,,0.42,,,,,,
"MDV    ","LLCO",2016,9,9,"5100068   ",5100068,11292.00,"HOOKS","0","LO",,0.62,,0.18,,,,,,,,,,,,,,,,0.03,,0.25,,,,,,
"MDV    ","LLCO",2016,11,11,"5100068   ",5100068,4695.00,"HOOKS","0","LO",,0.05,,0.17,,,,,,,,,,,,,,,,0.06,,0.23,,,,,,
"MDV    ","LLCO",2016,12,12,"5100068   ",5100068,13584.00,"HOOKS","0","LO",,1.66,,0.28,,,,,,,,,,,,,,,,0.21,,0.54,,,,,,
"MDV    ","LLCO",2017,1,1,"5100068   ",5100068,16950.00,"HOOKS","0","LO",,3.99,,2.22,,,,0.04,,,,,,,,,,,,0.10,,1.77,,,,,,
