"author","title","venue","volume",'pages',"year",'type',"access","key",'doi',"ee","url"
"Stano Pekár,Jonas O. Wolff,Ludmila Cernecká,Klaus Birkhofer,Stefano Mammola,Elizabeth C. Lowe,Caroline S. Fukushima,Marie E. Herberstein,Adam Kucera,Bruno A. Buzatto,El Aziz Djoudi,Marc Domenech,Alison Vanesa Enciso,Yolanda M. G. Piñanez Espejo,Sara Febles,Luis F. García,Thiago Gonçalves-Souza,Marco Isaia,Denis Lafage,Eva Líznarová,Nuria Macías-Hernández,Ivan Magalhães,Jagoba Malumbres-Olarte,Ondrej Michálek,Peter Michalik,Radek Michalko,Filippo Milano,Ana Munévar,Wolfgang Nentwig,Giuseppe Nicolosi,Christina J. Painting,Julien Pétillon,Elena Piano,Kaïna Privet,Martín J. Ramírez,Cândida Ramos,Milan Rezác,Aurélien Ridel,Vlastimil Ruzicka,Irene Santos 0003,Lenka Sentenská,Leilani Walker,Kaja Wierucka,Gustavo Andres Zurita,Pedro Cardoso",The World Spider Trait database - a centralized global open repository for curated data on spider traits.,Database J. Biol. Databases Curation,2021,NaN,2021,Journal Articles,open,journals/biodb/PekarWCBMLFHKBD21,10.1093/DATABASE/BAAB064,https://doi.org/10.1093/database/baab064,https://dblp.org/rec/journals/biodb/PekarWCBMLFHKBD21
"Angèle M. Foley,Joshua Kazdan,Larissa Kröll,Sofía Martínez Alberga,Oleksii Melnyk,Alexander Tenenbaum",Spiders and their Kin - An Investigation of Stanley's Chromatic Symmetric Function for Spiders and Related Graphs.,Graphs Comb.,37,87-110,2021,Journal Articles,closed,journals/gc/FoleyKKAMT21,10.1007/S00373-020-02230-4,https://doi.org/10.1007/s00373-020-02230-4,https://dblp.org/rec/journals/gc/FoleyKKAMT21
"Alokananda Dey,Sandip Dey,Siddhartha Bhattacharyya,Jan Platos,Václav Snásel","Novel quantum inspired approaches for automatic clustering of gray level images using Particle Swarm Optimization, Spider Monkey Optimization and Ageist Spider Monkey Optimization algorithms.",Appl. Soft Comput.,88,106040,2020,Journal Articles,closed,journals/asc/DeyDBPS20,10.1016/J.ASOC.2019.106040,https://doi.org/10.1016/j.asoc.2019.106040,https://dblp.org/rec/journals/asc/DeyDBPS20
"Aite Zhao,Jianbo Li,Manzoor Ahmed",SpiderNet - A spiderweb graph neural network for multi-view gait recognition.,Knowl. Based Syst.,206,106273,2020,Journal Articles,closed,journals/kbs/ZhaoLA20,10.1016/J.KNOSYS.2020.106273,https://doi.org/10.1016/j.knosys.2020.106273,https://dblp.org/rec/journals/kbs/ZhaoLA20
"Sandrine Ollinger,Alain Polguère,Yannick Chudy,Bruno Gaume",Spiderlex et compagnie (Spiderlex & Co).,JEP-TALN-RECITAL,NaN,60-63,2020,Conference and Workshop Papers,open,conf/taln/OllingerPCG20,NaN,https://aclanthology.org/2020.jeptalnrecital-demos.16/,https://dblp.org/rec/conf/taln/OllingerPCG20
"Gaëtan Mertens,Patrick Wagensveld,Iris M. Engelhard",Cue conditioning using a virtual spider discriminates between high and low spider fearful individuals.,Comput. Hum. Behav.,91,192-200,2019,Journal Articles,closed,journals/chb/MertensWE19,10.1016/J.CHB.2018.10.006,https://doi.org/10.1016/j.chb.2018.10.006,https://dblp.org/rec/journals/chb/MertensWE19
"Paolo Bottoni,Andrew Fish,Francesco Parisi-Presicce",Spider Graphs - a graph transformation system for spider diagrams.,Softw. Syst. Model.,14,1421-1453,2015,Journal Articles,closed,journals/sosym/BottoniFP15,10.1007/S10270-013-0381-1,https://doi.org/10.1007/s10270-013-0381-1,https://dblp.org/rec/journals/sosym/BottoniFP15
"Tzanko Golemanov,Kostadin Kratchanov,Emilia Golemanova",Spider vs. Prolog - simulating Prolog in Spider.,CompSysTech,NaN,22,2009,Conference and Workshop Papers,closed,conf/compsystech/GolemanovKG09,10.1145/1731740.1731765,https://doi.org/10.1145/1731740.1731765,https://dblp.org/rec/conf/compsystech/GolemanovKG09
"Thomas Straube,Hans-Joachim Mentzel,Wolfgang H. R. Miltner",Waiting for spiders - Brain activation during anticipatory anxiety in spider phobics.,NeuroImage,37,1427-1436,2007,Journal Articles,closed,journals/neuroimage/StraubeMM07,10.1016/J.NEUROIMAGE.2007.06.023,https://doi.org/10.1016/j.neuroimage.2007.06.023,https://dblp.org/rec/journals/neuroimage/StraubeMM07
"Feifei Song,Jianjie Zhou","Corrigendum to ""The partite saturation number of spider"" [Applied Mathematics and Computation 394 (2021) /125793].",Appl. Math. Comput.,418,126815,2022,Journal Articles,closed,journals/amc/SongZ22,10.1016/J.AMC.2021.126815,https://doi.org/10.1016/j.amc.2021.126815,https://dblp.org/rec/journals/amc/SongZ22
"Guo Zhou,Ruxin Zhao,Qifang Luo,Yongquan Zhou",Optimal hydropower station dispatch using quantum social spider optimization algorithm.,Concurr. Comput. Pract. Exp.,34,NaN,2022,Journal Articles,closed,journals/concurrency/ZhouZLZ22,10.1002/CPE.5782,https://doi.org/10.1002/cpe.5782,https://dblp.org/rec/journals/concurrency/ZhouZLZ22
"Parsi Kalpana,S. Nagendra Prabhu,Vijayakumar Polepally,Jagannadha Rao D. B.",Exponentially-spider monkey optimization based allocation of resource in cloud.,Int. J. Intell. Syst.,37,2521-2542,2022,Journal Articles,closed,journals/ijis/KalpanaPPB22,10.1002/INT.22783,https://doi.org/10.1002/int.22783,https://dblp.org/rec/journals/ijis/KalpanaPPB22
"Isabelle Su,Ian Hattwick,Christine Southworth,Evan Ziporyn,Ally Bisshop,Roland Mühlethaler,Tomás Saraceno,Markus J. Buehler",Interactive exploration of a hierarchical spider web structure with sound.,J. Multimodal User Interfaces,16,71-85,2022,Journal Articles,closed,journals/jmui/SuHSZBMSB22,10.1007/S12193-021-00375-X,https://doi.org/10.1007/s12193-021-00375-x,https://dblp.org/rec/journals/jmui/SuHSZBMSB22
"Rachana Gupta,Satyasai Jagannath Nanda",Objective reduction in many-objective optimization with social spider algorithm for cloud detection in satellite images.,Soft Comput.,26,2935-2958,2022,Journal Articles,closed,journals/soco/GuptaN22,10.1007/S00500-021-06655-8,https://doi.org/10.1007/s00500-021-06655-8,https://dblp.org/rec/journals/soco/GuptaN22
"Praveen K. Wilson,J. R. Jeba",A developed framework for multi-document summarization using softmax regression and spider monkey optimization methods.,Soft Comput.,26,3313-3328,2022,Journal Articles,closed,journals/soco/WilsonJ22,10.1007/S00500-021-06694-1,https://doi.org/10.1007/s00500-021-06694-1,https://dblp.org/rec/journals/soco/WilsonJ22
"Hassan Tarawneh 0001,Issam Alhadid,Sufian Khwaldeh,Suha Afaneh",An Intelligent Cloud Service Composition Optimization Using Spider Monkey and Multistage Forward Search Algorithms.,Symmetry,14,82,2022,Journal Articles,open,journals/symmetry/TarawnehAKA22,10.3390/SYM14010082,https://doi.org/10.3390/sym14010082,https://dblp.org/rec/journals/symmetry/TarawnehAKA22
