"Carlos Alzate,Anna Monreale,Haytham Assem,Albert Bifet,Teodora Sandra Buda,Bora Caglayan,Brett Drury,Eva García-Martín,Ricard Gavaldà,Stefan Kramer 0001,Niklas Lavesson,Michael Madden 0002,Ian M. Molloy,Maria-Irina Nicolae,Mathieu Sinn","ECML PKDD 2018 Workshops - Nemesis 2018, UrbReas 2018, SoGood 2018, IWAISe 2018, and Green Data Mining 2018, Dublin, Ireland, September 10-14, 2018, Proceedings","Nemesis/UrbReas/SoGood/IWAISe/GDM@PKDD/ECML,Lecture Notes in Computer Science",11329,NaN,2019,Editorship,NaN,conf/pkdd/2018nemesis,10.1007/978-3-030-13453-2,https://doi.org/10.1007/978-3-030-13453-2,https://dblp.org/rec/conf/pkdd/2018nemesis
"Isabelle Bichindaritz,Christian Guttmann,Pau Herrero,Fernando Koch,Andrew Koster,Richard Lenz,Beatriz López Ibáñez,Cindy Marling,Clare Martin 0001,Sara Montagna,Stefania Montani,Manfred Reichert,David Riaño 0001,Michael Ignaz Schumacher,Annette ten Teije,Nirmalie Wiratunga","Proceedings of the First Joint Workshop on AI in Health organized as part of the Federated AI Meeting (FAIM 2018), co-located with AAMAS 2018, ICML 2018, IJCAI 2018 and ICCBR 2018, Stockholm, Sweden, July 13-14, 2018.","AIH@IJCAI,CEUR Workshop Proceedings",2142,NaN,2018,Editorship,open,conf/ijcai/2018aih,NaN,http://ceur-ws.org/Vol-2142,https://dblp.org/rec/conf/ijcai/2018aih
"Danail Stoyanov,Zeike Taylor,Duygu Sarikaya,A. Jonathan McLeod,Miguel Ángel González Ballester,Noel C. F. Codella,Anne L. Martel,Lena Maier-Hein,Anand Malpani,Marco A. Zenati,Sandrine de Ribaupierre,Xióngbiao Luó,Toby Collins,Tobias Reichl,Klaus Drechsler,Marius Erdt,Marius George Linguraru,Cristina Oyarzun Laura,Raj Shekhar,Stefan Wesarg,M. Emre Celebi 0001,Kristin J. Dana,Allan Halpern","OR 2.0 Context-Aware Operating Theaters, Computer Assisted Robotic Endoscopy, Clinical Image-Based Procedures, - and - Skin Image Analysis - First International Workshop, OR 2.0 2018, 5th International Workshop, CARE 2018, 7th International Workshop, CLIP 2018, Third International Workshop, ISIC 2018, Held in Conjunction with MICCAI 2018, Granada, Spain, September 16 and 20, 2018, Proceedings","OR 2.0/CARE/CLIP/ISIC@MICCAI,Lecture Notes in Computer Science",11041,NaN,2018,Editorship,NaN,conf/miccai/2018or,10.1007/978-3-030-01201-4,https://doi.org/10.1007/978-3-030-01201-4,https://dblp.org/rec/conf/miccai/2018or
"Danail Stoyanov,Zeike Taylor,Stephen R. Aylward,João Manuel R. S. Tavares,Yiming Xiao,Amber L. Simpson,Anne L. Martel,Lena Maier-Hein,Shuo Li,Hassan Rivaz,Ingerid Reinertsen,Matthieu Chabanas,Keyvan Farahani","Simulation, Image Processing, and Ultrasound Systems for Assisted Diagnosis and Navigation - International Workshops, POCUS 2018, BIVPCS 2018, CuRIOUS 2018, and CPM 2018, Held in Conjunction with MICCAI 2018, Granada, Spain, September 16-20, 2018, Proceedings","POCUS/BIVPCS/CuRIOUS/CPM@MICCAI,Lecture Notes in Computer Science",11042,NaN,2018,Editorship,NaN,conf/miccai/2018pocus,10.1007/978-3-030-01045-4,https://doi.org/10.1007/978-3-030-01045-4,https://dblp.org/rec/conf/miccai/2018pocus
"Danail Stoyanov,Zeike Taylor,Seyed Mostafa Kia,Ipek Oguz,Mauricio Reyes 0001,Anne L. Martel,Lena Maier-Hein,Andre F. Marquand,Edouard Duchesnay,Tommy Löfstedt,Bennett A. Landman,M. Jorge Cardoso,Carlos A. Silva 0002,Sérgio Pereira,Raphael Meier","Understanding and Interpreting Machine Learning in Medical Image Computing Applications - First International Workshops MLCN 2018, DLF 2018, and iMIMIC 2018, Held in Conjunction with MICCAI 2018, Granada, Spain, September 16-20, 2018, Proceedings","MLCN/DLF/iMIMIC@MICCAI,Lecture Notes in Computer Science",11038,NaN,2018,Editorship,NaN,conf/miccai/2018mlcn,10.1007/978-3-030-02628-8,https://doi.org/10.1007/978-3-030-02628-8,https://dblp.org/rec/conf/miccai/2018mlcn
"Danail Stoyanov,Zeike Taylor,Bernhard Kainz,Gabriel Maicas,Reinhard R. Beichel,Anne L. Martel,Lena Maier-Hein,Kanwal K. Bhatia,Tom Vercauteren,Ozan Oktay,Gustavo Carneiro,Andrew P. Bradley,Jacinto C. Nascimento,Hang Min,Matthew S. Brown,Colin Jacobs,Bianca Lassen-Schmidt,Kensaku Mori,Jens Petersen,Raúl San José Estépar,Alexander Schmidt-Richberg,Catarina Veiga","Image Analysis for Moving Organ, Breast, and Thoracic Images - Third International Workshop, RAMBO 2018, Fourth International Workshop, BIA 2018, and First International Workshop, TIA 2018, Held in Conjunction with MICCAI 2018, Granada, Spain, September 16 and 20, 2018, Proceedings","RAMBO+BIA+TIA@MICCAI,Lecture Notes in Computer Science",11040,NaN,2018,Editorship,NaN,conf/miccai/2018rambo,10.1007/978-3-030-00946-5,https://doi.org/10.1007/978-3-030-00946-5,https://dblp.org/rec/conf/miccai/2018rambo
Elizabeth Nijdam,"Indigenous Worldviews in Digital Games - Sami Perspectives in Gufihtara eallu (2018) and Rievssat (2018) - This paper examines how two digital games produced during the 2018 Sami Game Jam, Gufihtara eallu (2018) and Rievssat (2018), embody and model Sami Indigenous epistemologies.",FDG,NaN,17:1-17:8,2021,Conference and Workshop Papers,closed,conf/fdg/Nijdam21,10.1145/3472538.3472559,https://doi.org/10.1145/3472538.3472559,https://dblp.org/rec/conf/fdg/Nijdam21
"Ilpo Koskinen,Youn-Kyung Lim,Teresa Cerratto Pargman,Kenny K. N. Chow,William Odom","Proceedings of the 2018 on Designing Interactive Systems Conference 2018, DIS 2018, Hong Kong, China, June 09-13, 2018",Conference on Designing Interactive Systems,NaN,NaN,2018,Editorship,NaN,conf/ACMdis/2018,NaN,http://dl.acm.org/citation.cfm?id=3196709,https://dblp.org/rec/conf/ACMdis/2018
"Joseph B. Collins,Prithviraj Dasgupta,Ranjeev Mittu","Proceedings of the AAAI Symposium on Adversary-Aware Learning Techniques and Trends in Cybersecurity (ALEC 2018) co-located with the Association for the Advancement of Artificial Intelligence 2018 Fall Symposium Series (AAAI-FSS 2018), Arlington, Virginia, USA, October 18-20, 2018.","AAAI Fall Symposium - ALEC,CEUR Workshop Proceedings",2269,NaN,2018,Editorship,open,conf/aaaifs/2018alec,NaN,http://ceur-ws.org/Vol-2269,https://dblp.org/rec/conf/aaaifs/2018alec
"Wil M. P. van der Aalst,Robin Bergenthum,Josep Carmona 0001","Proceedings of the International Workshop on Algorithms & Theories for the Analysis of Event Data 2018 Satellite event of the conferences - 39th International Conference on Application and Theory of Petri Nets and Concurrency Petri Nets 2018 and 18th International Conference on Application of Concurrency to System Design ACSD 2018, Bratislava, Slovakia, June 25, 2018.","ATAED@Petri Nets/ACSD,CEUR Workshop Proceedings",2115,NaN,2018,Editorship,open,conf/apn/2018ataed,NaN,http://ceur-ws.org/Vol-2115,https://dblp.org/rec/conf/apn/2018ataed
