S,T
0.0190055,1
0.0190055,2
0.0190055,3
0.0190055,4
0.0190055,5
0.0197441,6
0.0204826,7
0.0204826,8
0.0204826,9
0.0204826,10
0.0204826,11
0.0204826,12
0.0204826,13
0.0204826,14
0.0204826,15
0.0204826,16
0.0204826,17
0.0204826,18
0.0204826,19
0.0204826,20
0.0204826,21
0.0204826,22
0.0204826,23
0.0204826,24
0.0204826,25
0.0204826,26
0.0204826,27
0.0204826,28
0.0204826,29
0.0204826,30
0.0204826,31
0.020778,32
0.0210734,33
0.0210734,34
0.0210734,35
0.0225752,36
0.0240769,37
0.0240769,38
0.0240769,39
0.0240769,40
0.0260956,41
0.0281143,42
0.0281143,43
0.0281143,44
0.0305515,45
0.0329888,46
0.0329888,47
0.0329888,48
0.0329888,49
0.0329888,50
0.0329888,51
0.0329888,52
0.0358445,53
0.0358445,54
0.0358445,55
0.0365092,56
0.0371739,57
0.0373955,58
0.037617,59
0.0384541,60
0.0392911,61
0.0411621,62
0.0430331,63
0.0441656,64
0.045298,65
0.045298,66
0.045298,67
0.0468982,68
0.0484984,69
0.0509603,70
0.0509603,71
0.0509603,72
0.0509603,73
0.0509603,74
0.0516496,75
0.0523389,76
0.071369,77
0.0903991,78
0.0903991,79
0.0903991,80
0.0903991,81
0.0903991,82
0.0903991,83
0.0903991,84
0.0903991,85
0.0903991,86
0.0903991,87
0.0903991,88
0.0903991,89
0.0903991,90
0.0903991,91
0.0903991,92
0.0903991,93
0.0903991,94
0.0903991,95
0.0903991,96
0.0903991,97
0.0903991,98
0.0903991,99
0.0903991,100
0.0941411,101
0.0978831,102
0.1026591,103
0.107435,104
0.107435,105
0.107435,106
0.1088385,107
0.110242,108
0.1103155,109
0.110389,110
0.110389,111
0.110389,112
0.110389,113
0.110389,114
0.110389,115
0.110389,116
0.110389,117
0.110389,118
0.110389,119
0.1122355,120
0.114082,121
0.1141065,122
0.114131,123
0.1167405,124
0.11935,125
0.1199905,126
0.120631,127
0.1221325,128
0.123634,129
0.123634,130
0.123634,131
0.125997,132
0.1261205,133
0.126244,134
0.1278195,135
0.129395,136
0.1310935,137
0.132792,138
0.132792,139
0.132792,140
0.1344415,141
0.136091,142
0.1364605,143
0.13683,144
0.1380605,145
0.139291,146
0.14195,147
0.1430335,148
0.144117,149
0.1457415,150
0.147366,151
0.147366,152
0.147366,153
0.1539885,154
0.160611,155
0.1655595,156
0.170508,157
0.170508,158
0.170508,159
0.1711725,160
0.171837,161
0.171837,162
0.171837,163
0.171837,164
0.171837,165
0.171837,166
0.1730925,167
0.174348,168
0.175456,169
0.176564,170
0.177721,171
0.178878,172
0.178878,173
0.178878,174
0.1790995,175
0.179321,176
0.179321,177
0.1805275,178
0.181734,179
0.1823245,180
0.182915,181
0.1842445,182
0.185574,183
0.1880115,184
0.190449,185
0.1912365,186
0.192024,187
0.192024,188
0.192024,189
0.192024,190
0.192024,191
0.192024,192
0.192024,193
0.192024,194
0.192024,195
0.192024,196
0.192024,197
0.192024,198
0.192024,199
0.192024,200
0.192024,201
0.192024,202
0.192024,203
0.192024,204
0.192024,205
0.192024,206
0.192024,207
0.192024,208
0.192024,209
0.192024,210
0.192024,211
0.192024,212
0.192024,213
0.192024,214
0.192024,215
0.192024,216
0.192024,217
0.192024,218
0.192024,219
0.192024,220
0.192024,221
0.192024,222
0.192024,223
0.192024,224
0.192024,225
0.192024,226
0.192024,227
0.192024,228
0.192024,229
0.192024,230
0.192024,231
0.192024,232
0.192024,233
0.192024,234
0.192024,235
0.192024,236
0.192024,237
0.192024,238
0.192024,239
0.192024,240
0.192024,241
0.192024,242
0.192024,243
0.192024,244
0.192024,245
0.192024,246
0.192024,247
0.192024,248
0.192024,249
0.2011575,250
0.210291,251
0.2165685,252
0.222846,253
0.224422,254
0.22649,255
0.228558,256
0.228558,257
0.228558,258
0.228558,259
0.228558,260
0.228558,261
0.228558,262
