特区，4月进出口额，4月出口额，4月进口额，同期进出口比，同期出口比，同期进口比
厦门经济特区，7,051,209 ，3,561,065 ，3,490,144 ，5.9，11.8，0.4
深圳经济特区，29,350,055 ，17,007,651 ，12,342,404 ，-1.3，1.8，-5.0
珠海经济特区，2,792,837 ，1,783,608 ，1,009,229 ，-6.0，5.5，-20.3
汕头经济特区 ，1,037,040 ，925,448 ，111,592 ，20.5，25.0，3.7
海南经济特区，1,646,763 ，496,179 ，1,150,583 ，68.8，89.6，62.8
经济技术开发区，26,298,110 ，13,200,733 ，13,097,377 ，8.5，7.5，9.6
高新技术产业开发区，22,393,304 ，12,870,511 ，9,522,793 ，9.0，13.3，3.8
综合实验区，4,191,417 ，2,450,438 ，1,740,979 ，-2.0，-6.1，4.1
保税区，11,446,206 ，3,166,618 ，8,279,588 ，-6.4，-9.7，-4.9
天津港保税区，814,447 ，153,575 ，660,872 ，35.3，76.0，27.2
大连保税区，79,040 ，22,500 ，56,540 ，-8.3，-9.8，-7.9
上海外高桥保税区，4,856,069 ，671,635 ，4,184,434 ，-12.6，-16.6，-11.3
宁波保税区，973,797 ，289,662 ，684,135 ，-9.6，-7.6，-10.3
福州保税区，49,808 ，20,935 ，28,873 ，180.9，48.9，393.8
厦门象屿保税区，1,010,373 ，368,346 ，642,027 ，200.6，94.0，342.1
广州保税区 ，133,990 ，40,355 ，93,635 ，-40.6，-52.9，-34.6
深圳福田保税区，3,402,839 ，1,540,803 ，1,862,036 ，-13.2，-13.5，-13.0
珠海保税区，125,843 ，58,807 ，67,036 ，4.3，-33.8，61.2
珠澳跨境工业区珠海园区，34,355 ，21,590 ，12,766 ，43.2，52.2，27.2
保税港区，647,988 ，110,202 ，537,787 ，32.1，16.7，36.2
