车名,价格,过户次数,排量,地区,变速箱,颜色,出厂日期
奔驰S级 2010款 S 300 L 商务型(进口),100.95万,3次,3.0L,北京(京),自动,黑色,Mar-10
奔驰 唯雅诺 2010款 2.5L 尊贵版,47.54万,2次,2.5L,北京(京),自动,银灰色,Sep-10
保时捷Panamera 2010款 Panamera 3.6L,125.15万,1次,3.6L,北京(京),自动,红色,Jan-11
保时捷Cayenne 2011款 Cayenne 3.0T,100.08万,1次,3.0L,北京(京),自动,黑色,Feb-11
大众 速腾 2011款 1.4TSI 自动技术型,17.67万,1次,1.4T,北京(京),自动,银灰色,Mar-11
宝马5系GT 2010款 535i 豪华型(进口),105.07万,2次,3.0T,北京(京),自动,蓝色,Apr-11
保时捷Cayenne 2011款 Cayenne S 4.8L,167.38万,2次,4.8L,北京(京),自动,咖啡色,May-11
现代 维拉克斯 2009款 3.8L 舒适版(进口),43.20万,1次,3.8L,北京(京),自动,深灰色,Jun-11
保时捷Cayenne 2011款 Cayenne S 4.8L,167.38万,5次,4.8L,北京(京),自动,白色,Jun-11
英菲尼迪G系列 2010款 G25 Sedan 豪华运动版(进口) 0过户,43.20万,0次,2.5L,北京(京),自动,银灰色,Aug-11
奥迪A5 2012款 2.0TFSI Cabriolet(进口) 0过户,64.91万,0次,2.0T,北京(京),自动,白色,Sep-11
奥迪A8L 2011款 A8L 3.0 TFSI quattro舒适型(213kW)(进口) 0过户,100.73万,0次,3.0L,北京(京),自动,黑色,Oct-11
宝马3系 2010款 320i豪华型(进口),40.71万,1次,2.0L,北京(京),自动,黑色,Oct-11
路虎 揽胜极光 2012款 2.0T 5门耀动版(进口),68.17万,6次,2.0T,北京(京),自动,白色,Nov-11
宝马Z4 2012款 sDrive20i领先型(进口),62.74万,3次,2.0T,北京(京),自动,白色,May-12
宝马Z4 2012款 sDrive20i领先型(进口),62.74万,3次,2.0T,北京(京),自动,白色,May-12
沃尔沃XC60 2013款 T5 舒适版(进口),44.49万,3次,2.0T,北京(京),自动,咖啡色,Aug-12
奔驰GLK级 2013款 GLK 300 4MATIC 时尚型,52.65万,2次,3.0L,北京(京),自动,蓝色,Oct-12
奥迪A4L 2013款 35 TFSI 自动舒适型,35.81万,2次,2.0T,北京(京),自动,深灰色,Nov-12
奔驰GLK级 2013款 GLK 300 4MATIC 时尚型,52.65万,1次,3.0L,北京(京),自动,银灰色,Jan-13
奔驰GLK级 2013款 GLK 300 4MATIC 时尚型,52.65万,1次,3.0L,北京(京),自动,黑色,Jan-13
奔驰R级 2011款 R 300 L 商务型(进口),64.91万,1次,3.0L,北京(京),自动,黑色,Jan-13
奔驰E级 2012款 E 200 CGI Coupe(进口),58.40万,1次,1.8T,北京(京),自动,深灰色,Mar-13
现代ix35 2012款 2.0L 自动两驱精英版GLS,21.25万,1次,2.0L,北京(京),自动,深灰色,Jun-13
奥迪A4L 2013款 35 TFSI 自动舒适型,35.81万,1次,2.0T,北京(京),自动,白色,Jul-13
丰田 凯美瑞 2013款 2.5G 舒适版,22.77万,1次,2.5L,北京(京),自动,黑色,Sep-13
Jeep 大切诺基 2014款 3.0L 舒享导航版(进口),62.95万,1次,3.0L,北京(京),自动,黑色,Sep-13
