,score,city,comment
0,1.5,哈尔滨,水军太多了，电影粗制滥造
1,5.0,郑州,很欢乐哈哈哈
2,5.0,天津,大部分男人都是，现任却总忘不了初恋，但时间会证明。
3,2.0,北京,"好笑吗？一般吧。这部电影刚出的时候被大力推捧，我看不下去，那时候我以为我是看不下去沈腾，现在我才发现原来我是看不下去马丽，30多岁还显老的人扮高中生，唉。
看影评很多人看完想起初恋，哈哈哈哈哈哈，能从小美到大的初恋也是没那么容易啊！"
4,4.5,珠海,好搞笑 挺不错的
5,5.0,长春,和他初识看的第一场电影🎬后来他成了我男朋友。
6,4.0,潍坊,笑尿了一段，不伦不类的感觉
7,5.0,三河,开心麻花的第一部，也是最经典的一部，后面的电影无法超越的一部，故事情节很赞，沈腾马丽艾伦尹正王智都演的深入人心，非常经典，结尾也相当感人。
8,5.0,吉林,杠杠滴！！！
9,4.0,丽水,沈腾团队的经典之作
10,3.5,北京,来来来，是谁说的看《夏洛特烦恼》哭成狗的？我保证不打你！看到熟悉的旅顺口风光和老街还是挺激动的，还有家门口的“碧海蓝天”，里面原来那么豪华啊，电影还行，笑点挺多。
11,5.0,沈阳,看了好几遍了
12,5.0,宝丰,好棒啊好棒啊
13,5.0,宝鸡,刷了好几次，
14,5.0,潍坊,超级搞笑的 开心麻花加油
15,5.0,天津,大家都在说，有一个爱你的人不容易。我觉得这不重要，最重要也是最难的，是你真正知道你爱谁。港囧和夏洛特都在说明这一个问题。 你所真正爱着的，不是你的远方，你的遗憾和你未完成的青春。是就在你身边给你温暖的他/她。
16,5.0,广州,★★★★★☆11分（满分10+附加分1）。平时第一次给一部电影评11分，因为要和我之前评的满分电影拉开区分度。前面四分之三从头爆笑到尾，后面四分之一开始沉默、思考然后哭笑不得、笑泪交织。配乐，绝了！笑点，发自内心的大笑，没有一个点是冷场的！感悟，只要领悟到了，必是脱胎换骨的！夏洛特烦恼，让我由衷的为中国电影感到骄傲……
17,5.0,常州,好看…………
18,4.5,海口,很好看，很不错
19,5.0,深圳,太好看太好看
20,5.0,南宁,开心麻花最好的一部电影吧，有笑点也很感动
21,4.5,合肥,哈哈，超级搞笑，非常不错
22,5.0,合肥,我滴妈耶，这都是好早以前看的了，很好啦，很棒
23,3.5,长沙,还可可可可哈
24,3.5,长春,影片还是挺搞笑的，就是某些剧情有些低俗了，三观也不太正
25,5.0,安庆,好看好看好看
26,5.0,鄂尔多斯,第一部让我感动的喜剧
27,5.0,北京,在优酷补补，太好看了
28,3.5,南昌,国产片感觉越拍越好了
29,5.0,漯河,很好，承包了我整个笑点
30,4.0,广州,第一次看开心麻花出品的电影，很欢乐的同时有教育意义，👍
31,5.0,深圳,开心麻花的电影一如既往的搞笑开心
32,4.0,深圳,如果那不是一个梦，夏洛就那么的病死了，这样的结局才能升华主题。还是中国戏剧根深蒂固的“大团圆”结局，不管为了照顾观众情绪还是为了别的什么，反正收尾无力。一只想吃天鹅肉的癞蛤蟆，当它终于吃上梦寐以求的天鹅肉，去又开始怀念癞蛤蟆的生活。纵然爱情、生活能给你重新选择一次的机会，你就能活得没有遗憾了吗？大概不能。就像那首点题的《一次就好》，只要能为爱疯狂一次、为生活认真一回，就没什么可追悔的了，毕竟时光永远向前。反复听着这首歌，突然醒悟，青春悄无声息在指尖流逝，我却不曾经历过歌里的那种美好。这些年来，在自由随心、声色奔腾的日子里，纵然得到了“肉”的解放，青春岁月里最美妙的乐章却变得越来越遥不可及……
33,4.5,北京,太好笑了，全程就没停下来
34,5.0,南昌,开心麻花电影必看！
35,5.0,青岛,"好看
意义不一样，喜欢"
36,5.0,琼海,好看！！！！
37,5.0,江都,喜欢沈腾和马丽，确实很赞，值得购票去影院观看一场。
