名称,人气
蒂姆·罗宾斯,18286 人收藏
鲍勃·冈顿,461 人收藏
吉尔·贝罗斯,131 人收藏
克兰西·布朗,499 人收藏
弗兰克·德拉邦特,9124 人收藏
大卫·普罗瓦尔,31 人收藏
保罗·麦克兰尼,12 人收藏
尼尔·吉恩托利,10 人收藏
斯蒂芬·金,14209 人收藏
詹姆斯·惠特摩,114 人收藏
马克·罗斯顿,61 人收藏
摩根·弗里曼,46789 人收藏
祖德·塞克利拉,23 人收藏
威廉姆·赛德勒,306 人收藏
杰弗里·德曼,150 人收藏
陈凯歌,19122 人收藏
芮妮·布莱恩,15 人收藏
阿方索·弗里曼,11 人收藏
拉里·布兰登伯格,11 人收藏
耐德·巴拉米,20 人收藏
布赖恩·利比,13 人收藏
唐·麦克马纳斯,12 人收藏
马克·迈尔斯,2 人收藏
约瑟夫·劳格诺,8 人收藏
V·J·福斯特,4 人收藏
吕齐,171 人收藏
弗兰克·梅德拉诺,6 人收藏
芦苇,3085 人收藏
英达,1797 人收藏
李碧华,8311 人收藏
巩俐,25507 人收藏
吴大维,1319 人收藏
布赖恩·戴拉特,5 人收藏
尼尔·萨默斯,5 人收藏
张国荣,88503 人收藏
童弟,37 人收藏
尹治,399 人收藏
赵海龙,35 人收藏
沈慧芬,136 人收藏
张丰毅,4667 人收藏
马明威,184 人收藏
蒋雯丽,6921 人收藏
智一桐,48 人收藏
葛优,30290 人收藏
罗宾·怀特,8876 人收藏
徐杰,1092 人收藏
雷汉,311 人收藏
罗伯特·泽米吉斯,6976 人收藏
费振翔,1544 人收藏
麦凯尔泰·威廉逊,76 人收藏
温斯顿·格鲁姆,18 人收藏
李丹,3085 人收藏
黄斐,58 人收藏
迈克尔·康纳·亨弗里斯,35 人收藏
李春,1002 人收藏
伊俄涅·M·特雷奇,2 人收藏
艾瑞克·罗斯,427 人收藏
哈罗德·G·赫瑟姆,3 人收藏
汉娜·豪尔,113 人收藏
加里·西尼斯,958 人收藏
杰森·麦克奎尔,2 人收藏
希博汗·法隆,48 人收藏
海利·乔·奥斯蒙,6755 人收藏
汤姆·汉克斯,65727 人收藏
德博拉·麦克蒂尔,2 人收藏
丹尼尔C.斯瑞派克,6 人收藏
莎莉·菲尔德,1270 人收藏
罗布·兰德里,2 人收藏
山姆·安德森,33 人收藏
伊丽莎白·汉克斯,2 人收藏
桑尼·施罗耶,4 人收藏
埃里克·安德伍德,2 人收藏
伊莎贝尔·罗斯,6 人收藏
阿非莫·奥米拉,12 人收藏
