电影名,上映年度,电影英文名,类型,上映时间,国家及地区,累计票房
茉莉花开,2004,Jasmine Women,爱情,2004-6-15（中国）,中国,521.8万
无间道2,2003,Mou gaan dou II,警匪/动作,2003-9-5（中国）,中国香港/中国/新加坡,800.8万
无间道3,2003,Mou gaan dou III: Jung gik mou gaan,警匪,2003-12-11（中国）,中国香港/中国,3601.0万
墨攻,2006,Muk gong,战争,2006-11-23（中国）,中国/日本/韩国/中国香港,6701.8万
武士,2003,Musa,战争,2003-1-10（中国）,韩国/中国,无
本命年,1989,Black Snow,剧情,1989-2-1（中国）,中国,3.8万
蓝莓之夜,2007,My Blueberry Nights,爱情/公路,2007-12-22（中国）,中国香港/中国/法国,1207.4万
那时花开,1900,Na shi hua kai,爱情,2002-5（中国）,中国,无
男儿本色,2007,Naam yi boon sik,警匪,2007-7-19（中国）,中国香港/中国,3408.7万
男才女貌,2007,Nan cai nu mao,爱情,2007-1-8（中国）,中国,400.0万
Nan ren he,1900,Nan ren he,,1998（中国）,,无
南京！南京！,2009,City of Life and Death,战争/剧情/历史,2009-4-22（中国）,中国/中国香港,15981.0万
女人不坏,2008,All About Women,爱情/喜剧,2008-12-11（中国）,中国,1983.2万
泥鳅也是鱼,2006,Loach Is Fish Too,剧情,2006-4-15（中国）,中国,17.5万
春江遗恨,1944,Noroshi wa Shanghai ni agaru,剧情/战争,1944-11-22（中国）,日本/中国,无
女儿经,1934,Nu er jing,,1934-10-9（中国）,,无
暖,2004,Nuan,剧情,2004-10-20（中国）,中国,601.0万
一个人的奥林匹克,2008,"One Man Olympics, The",纪录片,2008-5-17（中国）,中国/中国香港,146.5万
面纱,2006,"Painted Veil, The",爱情,2006-12-29（中国）,中国/美国,302.6万
庭院里的女人,2001,Pavilion of Women,爱情,2001-4-20（中国）,中国/美国,无
爱的是你,2006,Love In Memory,爱情/剧情,2006-8-30（中国）,中国,无
漂亮妈妈,2000,Breaking the Silence,剧情,2000-4-28（中国）,中国,无
喜马拉雅王子,2006,Prince of the Himalayas,剧情,2006-10-20（中国）,中国,400.5万
南京浩劫,1900,Purple Mountain,剧情,2008（中国）,中国/英国/美国,无
变脸,1995,Bian Lian,剧情,1995-6-9（中国）,中国/中国香港,3.2万
栖霞寺1937,1900,Qi xia si 1937,战争,2004（中国）,中国,无
七夜,2005,Qi ye,恐怖/惊悚,2005-8-11（中国）,中国,501.2万
旗鱼,2008,Sailfish,剧情,2008-6-27（中国）,中国,16.4万
千里走单骑,2005,Riding Alone for Thousands of Miles,剧情/公路,2005-12-22（中国）,中国香港/中国/日本,3001.3万
青红,2005,Qing hong,剧情,2005-6-3（中国）,中国,414.3万
情人结,2005,Qing ren jie,爱情,2005-1-8（中国）,中国,521.9万
情欲宝鉴,1929,Warnings for the Lovers,爱情,1929-11-2（中国）,中国,无
秋菊打官司,1992,The Story of Qiu-Ju,喜剧/剧情,1992-2-1（中国）,中国/中国香港,5.9万
求求你表扬我,2005,"Qiuqiu ni, biaoyang wo",喜剧,2005-6-17（中国）,中国,0.5万
日出日落,2005,"Sunrise, Sunset",剧情,2005-9-15（中国）,中国,无
如果·爱,2005,Perhaps Love,歌舞/爱情,2005-12-1（中国）,中国/马来西亚/中国香港,3007.7万
三国之见龙卸甲,2008,Three Kingdoms: Resurrection of the Dragon,战争,2008-4-3（中国）,中国/韩国/中国香港,6395.3万
赛龙夺锦,1900,Dragon-Boat Race,音乐/爱情,1999（中国）,中国,无
深海寻人,2008,Missing,惊悚,2008-6-12（中国）,中国/中国香港,1962.1万
三毛流浪记,1949,San mao liu lang ji,喜剧,1949-12（中国）,中国,无
38度,2003,San shi ba du,爱情,2003-10-24（中国）,中国,无
神话,2005,San wa,奇幻,2005-9-23（中国）,中国/中国香港,9701.9万
三峡好人,2006,Still Life,剧情,2006-12-14（中国）,中国,31.3万
色·戒,2007,"Lust, Caution",剧情,2007-11-1（中国）,美国/中国/中国台湾/中国香港,13773.1万
Sen blain,1900,Sen blain,冒险,1986（中国）,中国,无
西洋镜,2000,Shadow Magic,爱情,2000-3-2（中国）,中国/德国/中国台湾/美国,200.1万
伤逝,1900,Shang shi,剧情,1981（中国）,中国,无
上学路上,2004,A Unique Schooling,剧情,2004-9-1（中国）,中国,318.9万
Shang yi dang,1900,Shang yi dang,喜剧,1992（中国）,中国,无
上海1976,1900,Shanghai 1976,剧情,2008（中国）,中国/美国,无
上海纪事,1900,Shanghai jishi,剧情,1998（中国）,中国,无
上海伦巴,2006,lunba,爱情/剧情,2006-2-10（中国）,中国,152.7万
红美丽,2007,Shanghai Red,剧情,2007-4-29（中国）,美国/中国,600.9万
生活秀,2002,Life Show,剧情,2002-10-18（中国）,中国,无
爱情的牙齿,2007,Teeth of love,爱情,2007-5-18（中国）,中国,50.5万
生死抉择,2000,Fatal Decision,剧情,2000-6-21（中国）,中国,11659.0万
保持通话,2008,Connected,惊悚,2008-9-27（中国）,中国/中国香港,5001.1万
生死同心,1936,Shengsi tongxin,,1936-11-29（中国）,,无
时差7小时,2004,Shi cha qi xiao shi,爱情,2004-10-23（中国）,英国/中国,无
十面埋伏,2004,House of Flying Daggers,动作,2004-7-16（中国）,中国/中国香港,15360.2万
十七,2008,Seventeen,剧情,2008-6-18（中国）,中国,无
世界,2005,Shijie,剧情,2005-4-15（中国）,中国/日本/法国,200.6万
世界上最疼我的那个人去了,2002,Gone Is the One Who Held Me Dearest in the World,亲情/剧情,2002-10-28（中国）,中国,10.0万
十字街头,1937,Shizi jietou,,1937-4-15（中国）,,无
手机,2003,Cell Phone,剧情,2003-12-17（中国）,中国,5608.7万
