高度,面积,高度*面积,值,容积,最小,最大,输出
0.0000022,60000,,,150,1,3,
0.0000039,60000,,,150,1,3,
0.0000038,60000,,,150,1,3,
0.0000047,60000,,,150,1,3,
0.0000026,60000,,,150,1,3,
0.0000017,60000,,,150,1,3,
0.0000022,60000,,,150,1,3,
0.0000022,60000,,,150,1,3,
0.0000032,60000,,,150,1,3,
0.0000014,60000,,,150,1,3,
0.0000013,60000,,,150,1,3,
0.0000009,60000,,,150,1,3,
0.0000007,60000,,,150,1,3,
0.0000013,60000,,,150,1,3,
0.000001,60000,,,150,1,3,
0.0000014,60000,,,150,1,3,
0.0000009,60000,,,150,1,3,
0.0000005,60000,,,150,1,3,
0.0000014,60000,,,150,1,3,
0.000001,60000,,,150,1,3,
0.0000012,60000,,,150,1,3,
0.0000021,60000,,,150,1,3,
0.0000015,60000,,,150,1,3,
0.0000022,60000,,,150,1,3,
0.0000011,60000,,,150,1,3,
0.0000023,60000,,,150,1,3,
0.0000015,60000,,,150,1,3,
0.0000015,60000,,,150,1,3,
0.0000021,60000,,,150,1,3,
0.0000021,60000,,,150,1,3,
0.000002,60000,,,150,1,3,
0.0000008,60000,,,150,1,3,
0.0000011,60000,,,150,1,3,
0.0000011,60000,,,150,1,3,
0.0000009,60000,,,150,1,3,
0.0000012,60000,,,150,1,3,
0.0000007,60000,,,150,1,3,
0.0000013,60000,,,150,1,3,
0.0000006,60000,,,150,1,3,
0.0000012,60000,,,150,1,3,
0.0000011,60000,,,150,1,3,
0.0000009,60000,,,150,1,3,
0.0000012,60000,,,150,1,3,
0.0000008,60000,,,150,1,3,
0.0000013,60000,,,150,1,3,
0.0000012,60000,,,150,1,3,
0.000001,60000,,,150,1,3,
0.0000013,60000,,,150,1,3,
0.0000011,60000,,,150,1,3,
0.000002,60000,,,150,1,3,
0.000001,60000,,,150,1,3,
0.0000014,60000,,,150,1,3,
0.0000012,60000,,,150,1,3,
0.0000012,60000,,,150,1,3,
0.0000014,60000,,,150,1,3,
0.0000033,60000,,,150,1,3,
0.0000032,60000,,,150,1,3,
0.0000019,60000,,,150,1,3,
0.0000024,60000,,,150,1,3,
0.0000009,60000,,,150,1,3,
0.0000015,60000,,,150,1,3,
0.0000028,60000,,,150,1,3,
0.0000024,60000,,,150,1,3,
0.0000027,60000,,,150,1,3,
0.0000023,60000,,,150,1,3,
0.0000019,60000,,,150,1,3,
0.0000015,60000,,,150,1,3,
0.000002,60000,,,150,1,3,
0.0000014,60000,,,150,1,3,
0.0000026,60000,,,150,1,3,
0.0000028,60000,,,150,1,3,
0.0000022,60000,,,150,1,3,
0.0000013,60000,,,150,1,3,
0.0000019,60000,,,150,1,3,
0.0000017,60000,,,150,1,3,
0.0000016,60000,,,150,1,3,
0.000001,60000,,,150,1,3,
0.0000015,60000,,,150,1,3,
0.0000009,60000,,,150,1,3,
0.0000015,60000,,,150,1,3,
0.0000014,60000,,,150,1,3,
0.0000023,60000,,,150,1,3,
0.0000024,60000,,,150,1,3,
0.0000032,60000,,,150,1,3,
0.0000024,60000,,,150,1,3,
0.0000019,60000,,,150,1,3,
0.0000011,60000,,,150,1,3,
0.0000005,60000,,,150,1,3,
0.0000006,60000,,,150,1,3,
0.0000009,60000,,,150,1,3,
0.0000007,60000,,,150,1,3,
0.0000012,60000,,,150,1,3,
0.0000012,60000,,,150,1,3,
0.0000015,60000,,,150,1,3,
0.0000014,60000,,,150,1,3,
0.000001,60000,,,150,1,3,
0.0000016,60000,,,150,1,3,
0.0000011,60000,,,150,1,3,
0.0000011,60000,,,150,1,3,
0.000001,60000,,,150,1,3,
0.0000007,60000,,,150,1,3,
0.0000008,60000,,,150,1,3,
0.0000009,60000,,,150,1,3,
0.0000019,60000,,,150,1,3,
0.0000017,60000,,,150,1,3,
0.0000018,60000,,,150,1,3,
0.0000014,60000,,,150,1,3,
0.0000015,60000,,,150,1,3,
0.0000025,60000,,,150,1,3,
0.0000008,60000,,,150,1,3,
0.0000012,60000,,,150,1,3,
0.000001,60000,,,150,1,3,
0.0000014,60000,,,150,1,3,
0.0000023,60000,,,150,1,3,
0.0000022,60000,,,150,1,3,
0.0000037,60000,,,150,1,3,
0.0000015,60000,,,150,1,3,
0.000002,60000,,,150,1,3,
0.0000018,60000,,,150,1,3,
0.0000016,60000,,,150,1,3,
0.0000022,60000,,,150,1,3,
0.0000012,60000,,,150,1,3,
0.0000021,60000,,,150,1,3,
0.0000021,60000,,,150,1,3,
0.0000008,60000,,,150,1,3,
0.0000014,60000,,,150,1,3,
0.0000005,60000,,,150,1,3,
0.000001,60000,,,150,1,3,
0.000001,60000,,,150,1,3,
0.000001,60000,,,150,1,3,
0.000001,60000,,,150,1,3,
0.0000009,60000,,,150,1,3,
0,60000,,,150,1,3,
0.0000013,60000,,,150,1,3,
0.0000015,60000,,,150,1,3,
0.0000018,60000,,,150,1,3,
0.000002,60000,,,150,1,3,
0.0000028,60000,,,150,1,3,
0.0000023,60000,,,150,1,3,
0.0000023,60000,,,150,1,3,
0.0000031,60000,,,150,1,3,
0.0000024,60000,,,150,1,3,
0.0000038,60000,,,150,1,3,
0.0000023,60000,,,150,1,3,
0.0000026,60000,,,150,1,3,
0.0000018,60000,,,150,1,3,
0.0000009,60000,,,150,1,3,
0.0000041,60000,,,150,1,3,
0.000002,60000,,,150,1,3,
0.000002,60000,,,150,1,3,
0.0000009,60000,,,150,1,3,
0.0000012,60000,,,150,1,3,
0.0000015,60000,,,150,1,3,
0.000002,60000,,,150,1,3,
0.0000007,60000,,,150,1,3,
0.0000014,60000,,,150,1,3,
0.0000014,60000,,,150,1,3,
0.0000009,60000,,,150,1,3,
0.0000016,60000,,,150,1,3,
0.0000018,60000,,,150,1,3,
0.0000013,60000,,,150,1,3,
0.000001,60000,,,150,1,3,
0.0000018,60000,,,150,1,3,
0.0000031,60000,,,150,1,3,
0.0000024,60000,,,150,1,3,
0.0000037,60000,,,150,1,3,
0.000003,60000,,,150,1,3,
0.0000015,60000,,,150,1,3,
0.0000022,60000,,,150,1,3,
0.0000018,60000,,,150,1,3,
0.0000021,60000,,,150,1,3,
0.0000016,60000,,,150,1,3,
0.0000007,60000,,,150,1,3,
0.0000009,60000,,,150,1,3,
0.0000014,60000,,,150,1,3,
0.0000014,60000,,,150,1,3,
0.0000011,60000,,,150,1,3,
0.0000021,60000,,,150,1,3,
0.0000014,60000,,,150,1,3,
0.0000007,60000,,,150,1,3,
0.0000004,60000,,,150,1,3,
0.0000007,60000,,,150,1,3,
0.0000014,60000,,,150,1,3,
0.0000012,60000,,,150,1,3,
0.0000023,60000,,,150,1,3,
0.0000014,60000,,,150,1,3,
0.0000018,60000,,,150,1,3,
0.0000019,60000,,,150,1,3,
0.0000013,60000,,,150,1,3,
0.0000024,60000,,,150,1,3,
0.0000021,60000,,,150,1,3,
